"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Nov 08 14:07:49 GMT 2024","Fri Nov 08 14:08:07 GMT 2024","17994","User","UserPopup","Popup buttons","UserPopupTests","UserPopup_CheckPopupButton_AllButtonsDisplayed","UserPopup_CheckPopupButton_AllButtonsDisplayed","Open user popup"
"broken","Fri Nov 08 14:08:17 GMT 2024","Fri Nov 08 14:08:27 GMT 2024","9764","User","UserPopup","Open user popup","UserPopupTests","UserPopup_OpenPopup_PopupIsDisplayed","UserPopup_OpenPopup_PopupIsDisplayed","Open user popup"
"passed","Fri Nov 08 14:07:51 GMT 2024","Fri Nov 08 14:08:03 GMT 2024","12624","Login","Login","UI","LoginTests","Login_EmptyPassword_ErrorNotificationAppeared","Login_EmptyPassword_ErrorNotificationAppeared","Login with empty password."
"passed","Fri Nov 08 14:08:14 GMT 2024","Fri Nov 08 14:08:25 GMT 2024","11158","Login","Login","UI","LoginTests","Login_ValidCredentials_LaunchesPageOpened","Login_ValidCredentials_LaunchesPageOpened","Login with valid credentials"
"failed","Fri Nov 08 14:07:50 GMT 2024","Fri Nov 08 14:07:51 GMT 2024","605","Login","Login","API","ApiLoginTests","LoginApi_AuthenticateUserWithInvalidCredentials_UnauthorizedStatusCodeReturns","LoginApi_AuthenticateUserWithInvalidCredentials_UnauthorizedStatusCodeReturns","Authenticate user with invalid credentials though API"
"passed","Fri Nov 08 14:08:03 GMT 2024","Fri Nov 08 14:08:14 GMT 2024","10921","Login","Login","UI","LoginTests","Login_InvalidCredentials_ErrorNotificationAppeared","Login_InvalidCredentials_ErrorNotificationAppeared","Login with invalid credentials."
"broken","Fri Nov 08 14:07:49 GMT 2024","Fri Nov 08 14:07:50 GMT 2024","637","Login","Login","API","ApiLoginTests","LoginApi_AuthenticateUser_UnauthorizedStatusCodeReturns","LoginApi_AuthenticateUser_UnauthorizedStatusCodeReturns","Authenticate user though API"
"passed","Fri Nov 08 14:07:50 GMT 2024","Fri Nov 08 14:08:03 GMT 2024","12839","Login","Login","UI","LoginTests","Login_EmptyEmail_ErrorNotificationAppeared","Login_EmptyEmail_ErrorNotificationAppeared","Login with empty email."
"failed","Fri Nov 08 14:08:14 GMT 2024","Fri Nov 08 14:08:14 GMT 2024","565","Login","Login","API","ApiLoginTests","LoginApi_AuthenticateUserWithoutPasswordTest_UnauthorizedStatusCodeReturns","LoginApi_AuthenticateUserWithoutPasswordTest_UnauthorizedStatusCodeReturns","Authenticate user without password though API"
"broken","Fri Nov 08 14:08:03 GMT 2024","Fri Nov 08 14:08:17 GMT 2024","13732","Login","LogOut","UI","LoginTests","Login_LogoutFromUserPopup_LoginPageOpened","Login_LogoutFromUserPopup_LoginPageOpened","Log out from header popup. Expected OKTA page with URL: https://coxauto.okta.com opened."
"broken","Fri Nov 08 14:07:49 GMT 2024","Fri Nov 08 14:08:23 GMT 2024","33622","Login","Login","UI","LoginTests","Login_EmptyCredentials_ErrorNotificationAppeared","Login_EmptyCredentials_ErrorNotificationAppeared","Login with empty credentials."
"failed","Fri Nov 08 14:07:49 GMT 2024","Fri Nov 08 14:07:50 GMT 2024","756","Login","Login","API","ApiLoginTests","LoginAi_AuthenticateUserWithoutUsername_UnauthorizedStatusCodeReturns","LoginAi_AuthenticateUserWithoutUsername_UnauthorizedStatusCodeReturns","Authenticate user without email though API"
"broken","Fri Nov 08 14:08:07 GMT 2024","Fri Nov 08 14:08:17 GMT 2024","9863","User","UserPopup","Open user profile","UserPopupTests","UserPopup_CheckProfileButton_ProfilePageOpened","UserPopup_CheckProfileButton_ProfilePageOpened","Open user profile from user popup"
