"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Oct 29 14:08:30 GMT 2024","Tue Oct 29 14:08:31 GMT 2024","772","Login","Login","API","ApiLoginTests","LoginApi_AuthenticateUserWithInvalidCredentials_UnauthorizedStatusCodeReturns","LoginApi_AuthenticateUserWithInvalidCredentials_UnauthorizedStatusCodeReturns","Authenticate user with invalid credentials though API"
"passed","Tue Oct 29 14:08:31 GMT 2024","Tue Oct 29 14:08:43 GMT 2024","11759","Login","Login","UI","LoginTests","Login_EmptyPassword_ErrorNotificationAppeared","Login_EmptyPassword_ErrorNotificationAppeared","Login with empty password."
"broken","Tue Oct 29 14:08:29 GMT 2024","Tue Oct 29 14:09:03 GMT 2024","34097","Login","Login","UI","LoginTests","Login_EmptyCredentials_ErrorNotificationAppeared","Login_EmptyCredentials_ErrorNotificationAppeared","Login with empty credentials."
"passed","Tue Oct 29 14:08:54 GMT 2024","Tue Oct 29 14:09:04 GMT 2024","10119","Login","Login","UI","LoginTests","Login_ValidCredentials_LaunchesPageOpened","Login_ValidCredentials_LaunchesPageOpened","Login with valid credentials"
"failed","Tue Oct 29 14:08:30 GMT 2024","Tue Oct 29 14:08:31 GMT 2024","651","Login","Login","API","ApiLoginTests","LoginApi_AuthenticateUserWithoutPasswordTest_UnauthorizedStatusCodeReturns","LoginApi_AuthenticateUserWithoutPasswordTest_UnauthorizedStatusCodeReturns","Authenticate user without password though API"
"failed","Tue Oct 29 14:08:29 GMT 2024","Tue Oct 29 14:08:30 GMT 2024","1118","Login","Login","API","ApiLoginTests","LoginAi_AuthenticateUserWithoutUsername_UnauthorizedStatusCodeReturns","LoginAi_AuthenticateUserWithoutUsername_UnauthorizedStatusCodeReturns","Authenticate user without email though API"
"passed","Tue Oct 29 14:08:31 GMT 2024","Tue Oct 29 14:08:44 GMT 2024","13523","Login","Login","UI","LoginTests","Login_EmptyEmail_ErrorNotificationAppeared","Login_EmptyEmail_ErrorNotificationAppeared","Login with empty email."
"broken","Tue Oct 29 14:08:29 GMT 2024","Tue Oct 29 14:08:30 GMT 2024","864","Login","Login","API","ApiLoginTests","LoginApi_AuthenticateUser_UnauthorizedStatusCodeReturns","LoginApi_AuthenticateUser_UnauthorizedStatusCodeReturns","Authenticate user though API"
"passed","Tue Oct 29 14:08:44 GMT 2024","Tue Oct 29 14:08:54 GMT 2024","9489","Login","Login","UI","LoginTests","Login_InvalidCredentials_ErrorNotificationAppeared","Login_InvalidCredentials_ErrorNotificationAppeared","Login with invalid credentials."
"broken","Tue Oct 29 14:08:29 GMT 2024","Tue Oct 29 14:09:19 GMT 2024","49721","User","UserPopup","Popup buttons","UserPopupTests","UserPopup_CheckPopupButton_AllButtonsDisplayed","UserPopup_CheckPopupButton_AllButtonsDisplayed","Open user popup"
"broken","Tue Oct 29 14:08:53 GMT 2024","Tue Oct 29 14:09:03 GMT 2024","10557","Login","LogOut","UI","LoginTests","Login_LogoutFromUserPopup_LoginPageOpened","Login_LogoutFromUserPopup_LoginPageOpened","Log out from header popup. Expected OKTA page with URL: https://coxauto.okta.com opened."
"broken","Tue Oct 29 14:09:03 GMT 2024","Tue Oct 29 14:09:11 GMT 2024","7966","User","UserPopup","Open user popup","UserPopupTests","UserPopup_OpenPopup_PopupIsDisplayed","UserPopup_OpenPopup_PopupIsDisplayed","Open user popup"
"broken","Tue Oct 29 14:08:43 GMT 2024","Tue Oct 29 14:08:53 GMT 2024","10148","User","UserPopup","Open user profile","UserPopupTests","UserPopup_CheckProfileButton_ProfilePageOpened","UserPopup_CheckProfileButton_ProfilePageOpened","Open user profile from user popup"
