"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Oct 30 14:09:15 GMT 2024","Wed Oct 30 14:09:26 GMT 2024","11269","Login","LogOut","UI","LoginTests","Login_LogoutFromUserPopup_LoginPageOpened","Login_LogoutFromUserPopup_LoginPageOpened","Log out from header popup. Expected OKTA page with URL: https://coxauto.okta.com opened."
"passed","Wed Oct 30 14:08:43 GMT 2024","Wed Oct 30 14:09:06 GMT 2024","22630","Login","Login","UI","LoginTests","Login_EmptyEmail_ErrorNotificationAppeared","Login_EmptyEmail_ErrorNotificationAppeared","Login with empty email."
"failed","Wed Oct 30 14:09:07 GMT 2024","Wed Oct 30 14:09:18 GMT 2024","10721","Login","Login","UI","LoginTests","Login_InvalidCredentials_ErrorNotificationAppeared","Login_InvalidCredentials_ErrorNotificationAppeared","Login with invalid credentials."
"failed","Wed Oct 30 14:08:42 GMT 2024","Wed Oct 30 14:08:42 GMT 2024","785","Login","Login","API","ApiLoginTests","LoginAi_AuthenticateUserWithoutUsername_UnauthorizedStatusCodeReturns","LoginAi_AuthenticateUserWithoutUsername_UnauthorizedStatusCodeReturns","Authenticate user without email though API"
"broken","Wed Oct 30 14:08:42 GMT 2024","Wed Oct 30 14:08:42 GMT 2024","688","Login","Login","API","ApiLoginTests","LoginApi_AuthenticateUser_UnauthorizedStatusCodeReturns","LoginApi_AuthenticateUser_UnauthorizedStatusCodeReturns","Authenticate user though API"
"broken","Wed Oct 30 14:08:42 GMT 2024","Wed Oct 30 14:09:07 GMT 2024","25165","User","UserPopup","Popup buttons","UserPopupTests","UserPopup_CheckPopupButton_AllButtonsDisplayed","UserPopup_CheckPopupButton_AllButtonsDisplayed","Open user popup"
"broken","Wed Oct 30 14:08:42 GMT 2024","Wed Oct 30 14:09:26 GMT 2024","44142","Login","Login","UI","LoginTests","Login_EmptyCredentials_ErrorNotificationAppeared","Login_EmptyCredentials_ErrorNotificationAppeared","Login with empty credentials."
"broken","Wed Oct 30 14:08:43 GMT 2024","Wed Oct 30 14:09:07 GMT 2024","24477","User","UserPopup","Open user profile","UserPopupTests","UserPopup_CheckProfileButton_ProfilePageOpened","UserPopup_CheckProfileButton_ProfilePageOpened","Open user profile from user popup"
"failed","Wed Oct 30 14:08:42 GMT 2024","Wed Oct 30 14:08:43 GMT 2024","591","Login","Login","API","ApiLoginTests","LoginApi_AuthenticateUserWithInvalidCredentials_UnauthorizedStatusCodeReturns","LoginApi_AuthenticateUserWithInvalidCredentials_UnauthorizedStatusCodeReturns","Authenticate user with invalid credentials though API"
"broken","Wed Oct 30 14:09:07 GMT 2024","Wed Oct 30 14:09:19 GMT 2024","11839","User","UserPopup","Open user popup","UserPopupTests","UserPopup_OpenPopup_PopupIsDisplayed","UserPopup_OpenPopup_PopupIsDisplayed","Open user popup"
"failed","Wed Oct 30 14:08:42 GMT 2024","Wed Oct 30 14:08:43 GMT 2024","617","Login","Login","API","ApiLoginTests","LoginApi_AuthenticateUserWithoutPasswordTest_UnauthorizedStatusCodeReturns","LoginApi_AuthenticateUserWithoutPasswordTest_UnauthorizedStatusCodeReturns","Authenticate user without password though API"
"passed","Wed Oct 30 14:09:18 GMT 2024","Wed Oct 30 14:09:26 GMT 2024","8258","Login","Login","UI","LoginTests","Login_ValidCredentials_LaunchesPageOpened","Login_ValidCredentials_LaunchesPageOpened","Login with valid credentials"
"passed","Wed Oct 30 14:09:06 GMT 2024","Wed Oct 30 14:09:15 GMT 2024","9336","Login","Login","UI","LoginTests","Login_EmptyPassword_ErrorNotificationAppeared","Login_EmptyPassword_ErrorNotificationAppeared","Login with empty password."
