"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Oct 24 14:08:38 GMT 2024","Thu Oct 24 14:08:39 GMT 2024","708","Login","Login","API","ApiLoginTests","LoginAi_AuthenticateUserWithoutUsername_UnauthorizedStatusCodeReturns","LoginAi_AuthenticateUserWithoutUsername_UnauthorizedStatusCodeReturns","Authenticate user without email though API"
"broken","Thu Oct 24 14:08:39 GMT 2024","Thu Oct 24 14:08:39 GMT 2024","472","Login","Login","API","ApiLoginTests","LoginApi_AuthenticateUser_UnauthorizedStatusCodeReturns","LoginApi_AuthenticateUser_UnauthorizedStatusCodeReturns","Authenticate user though API"
"passed","Thu Oct 24 14:09:02 GMT 2024","Thu Oct 24 14:09:12 GMT 2024","9547","Login","Login","UI","LoginTests","Login_ValidCredentials_LaunchesPageOpened","Login_ValidCredentials_LaunchesPageOpened","Login with valid credentials"
"passed","Thu Oct 24 14:08:53 GMT 2024","Thu Oct 24 14:09:04 GMT 2024","10961","Login","Login","UI","LoginTests","Login_InvalidCredentials_ErrorNotificationAppeared","Login_InvalidCredentials_ErrorNotificationAppeared","Login with invalid credentials."
"broken","Thu Oct 24 14:09:04 GMT 2024","Thu Oct 24 14:09:12 GMT 2024","8484","User","UserPopup","Open user popup","UserPopupTests","UserPopup_OpenPopup_PopupIsDisplayed","UserPopup_OpenPopup_PopupIsDisplayed","Open user popup"
"broken","Thu Oct 24 14:08:54 GMT 2024","Thu Oct 24 14:09:07 GMT 2024","12446","Login","LogOut","UI","LoginTests","Login_LogoutFromUserPopup_LoginPageOpened","Login_LogoutFromUserPopup_LoginPageOpened","Log out from header popup. Expected OKTA page with URL: https://coxauto.okta.com opened."
"broken","Thu Oct 24 14:08:38 GMT 2024","Thu Oct 24 14:08:53 GMT 2024","14688","User","UserPopup","Popup buttons","UserPopupTests","UserPopup_CheckPopupButton_AllButtonsDisplayed","UserPopup_CheckPopupButton_AllButtonsDisplayed","Open user popup"
"broken","Thu Oct 24 14:08:39 GMT 2024","Thu Oct 24 14:08:54 GMT 2024","14748","User","UserPopup","Open user profile","UserPopupTests","UserPopup_CheckProfileButton_ProfilePageOpened","UserPopup_CheckProfileButton_ProfilePageOpened","Open user profile from user popup"
"failed","Thu Oct 24 14:08:52 GMT 2024","Thu Oct 24 14:08:53 GMT 2024","483","Login","Login","API","ApiLoginTests","LoginApi_AuthenticateUserWithoutPasswordTest_UnauthorizedStatusCodeReturns","LoginApi_AuthenticateUserWithoutPasswordTest_UnauthorizedStatusCodeReturns","Authenticate user without password though API"
"failed","Thu Oct 24 14:08:52 GMT 2024","Thu Oct 24 14:08:52 GMT 2024","496","Login","Login","API","ApiLoginTests","LoginApi_AuthenticateUserWithInvalidCredentials_UnauthorizedStatusCodeReturns","LoginApi_AuthenticateUserWithInvalidCredentials_UnauthorizedStatusCodeReturns","Authenticate user with invalid credentials though API"
"passed","Thu Oct 24 14:08:53 GMT 2024","Thu Oct 24 14:09:02 GMT 2024","9646","Login","Login","UI","LoginTests","Login_EmptyPassword_ErrorNotificationAppeared","Login_EmptyPassword_ErrorNotificationAppeared","Login with empty password."
"passed","Thu Oct 24 14:08:38 GMT 2024","Thu Oct 24 14:08:52 GMT 2024","13575","Login","Login","UI","LoginTests","Login_EmptyEmail_ErrorNotificationAppeared","Login_EmptyEmail_ErrorNotificationAppeared","Login with empty email."
"broken","Thu Oct 24 14:08:38 GMT 2024","Thu Oct 24 14:09:12 GMT 2024","33703","Login","Login","UI","LoginTests","Login_EmptyCredentials_ErrorNotificationAppeared","Login_EmptyCredentials_ErrorNotificationAppeared","Login with empty credentials."
