"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Nov 12 14:08:42 GMT 2024","Tue Nov 12 14:08:52 GMT 2024","9942","Login","LogOut","UI","LoginTests","Login_LogoutFromUserPopup_LoginPageOpened","Login_LogoutFromUserPopup_LoginPageOpened","Log out from header popup. Expected OKTA page with URL: https://coxauto.okta.com opened."
"passed","Tue Nov 12 14:08:20 GMT 2024","Tue Nov 12 14:08:32 GMT 2024","12623","Login","Login","UI","LoginTests","Login_EmptyEmail_ErrorNotificationAppeared","Login_EmptyEmail_ErrorNotificationAppeared","Login with empty email."
"failed","Tue Nov 12 14:08:33 GMT 2024","Tue Nov 12 14:08:33 GMT 2024","422","Login","Login","API","ApiLoginTests","LoginApi_AuthenticateUserWithInvalidCredentials_UnauthorizedStatusCodeReturns","LoginApi_AuthenticateUserWithInvalidCredentials_UnauthorizedStatusCodeReturns","Authenticate user with invalid credentials though API"
"passed","Tue Nov 12 14:08:33 GMT 2024","Tue Nov 12 14:08:42 GMT 2024","9468","Login","Login","UI","LoginTests","Login_EmptyPassword_ErrorNotificationAppeared","Login_EmptyPassword_ErrorNotificationAppeared","Login with empty password."
"broken","Tue Nov 12 14:08:19 GMT 2024","Tue Nov 12 14:08:53 GMT 2024","33792","Login","Login","UI","LoginTests","Login_EmptyCredentials_ErrorNotificationAppeared","Login_EmptyCredentials_ErrorNotificationAppeared","Login with empty credentials."
"failed","Tue Nov 12 14:08:19 GMT 2024","Tue Nov 12 14:08:20 GMT 2024","736","Login","Login","API","ApiLoginTests","LoginAi_AuthenticateUserWithoutUsername_UnauthorizedStatusCodeReturns","LoginAi_AuthenticateUserWithoutUsername_UnauthorizedStatusCodeReturns","Authenticate user without email though API"
"broken","Tue Nov 12 14:08:19 GMT 2024","Tue Nov 12 14:08:36 GMT 2024","17164","User","UserPopup","Popup buttons","UserPopupTests","UserPopup_CheckPopupButton_AllButtonsDisplayed","UserPopup_CheckPopupButton_AllButtonsDisplayed","Open user popup"
"broken","Tue Nov 12 14:08:32 GMT 2024","Tue Nov 12 14:08:33 GMT 2024","397","Login","Login","API","ApiLoginTests","LoginApi_AuthenticateUser_UnauthorizedStatusCodeReturns","LoginApi_AuthenticateUser_UnauthorizedStatusCodeReturns","Authenticate user though API"
"broken","Tue Nov 12 14:08:36 GMT 2024","Tue Nov 12 14:08:45 GMT 2024","9479","User","UserPopup","Open user popup","UserPopupTests","UserPopup_OpenPopup_PopupIsDisplayed","UserPopup_OpenPopup_PopupIsDisplayed","Open user popup"
"broken","Tue Nov 12 14:08:19 GMT 2024","Tue Nov 12 14:08:33 GMT 2024","14162","User","UserPopup","Open user profile","UserPopupTests","UserPopup_CheckProfileButton_ProfilePageOpened","UserPopup_CheckProfileButton_ProfilePageOpened","Open user profile from user popup"
"passed","Tue Nov 12 14:08:33 GMT 2024","Tue Nov 12 14:08:44 GMT 2024","10817","Login","Login","UI","LoginTests","Login_InvalidCredentials_ErrorNotificationAppeared","Login_InvalidCredentials_ErrorNotificationAppeared","Login with invalid credentials."
"failed","Tue Nov 12 14:08:45 GMT 2024","Tue Nov 12 14:08:47 GMT 2024","1886","Login","Login","API","ApiLoginTests","LoginApi_AuthenticateUserWithoutPasswordTest_UnauthorizedStatusCodeReturns","LoginApi_AuthenticateUserWithoutPasswordTest_UnauthorizedStatusCodeReturns","Authenticate user without password though API"
"passed","Tue Nov 12 14:08:44 GMT 2024","Tue Nov 12 14:08:52 GMT 2024","7949","Login","Login","UI","LoginTests","Login_ValidCredentials_LaunchesPageOpened","Login_ValidCredentials_LaunchesPageOpened","Login with valid credentials"
