"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Nov 11 14:09:25 GMT 2024","Mon Nov 11 14:09:25 GMT 2024","758","Login","Login","API","ApiLoginTests","LoginApi_AuthenticateUser_UnauthorizedStatusCodeReturns","LoginApi_AuthenticateUser_UnauthorizedStatusCodeReturns","Authenticate user though API"
"passed","Mon Nov 11 14:09:25 GMT 2024","Mon Nov 11 14:09:40 GMT 2024","14733","Login","Login","UI","LoginTests","Login_EmptyEmail_ErrorNotificationAppeared","Login_EmptyEmail_ErrorNotificationAppeared","Login with empty email."
"failed","Mon Nov 11 14:09:52 GMT 2024","Mon Nov 11 14:09:53 GMT 2024","587","Login","Login","API","ApiLoginTests","LoginApi_AuthenticateUserWithoutPasswordTest_UnauthorizedStatusCodeReturns","LoginApi_AuthenticateUserWithoutPasswordTest_UnauthorizedStatusCodeReturns","Authenticate user without password though API"
"broken","Mon Nov 11 14:09:25 GMT 2024","Mon Nov 11 14:10:00 GMT 2024","35649","Login","Login","UI","LoginTests","Login_EmptyCredentials_ErrorNotificationAppeared","Login_EmptyCredentials_ErrorNotificationAppeared","Login with empty credentials."
"failed","Mon Nov 11 14:09:25 GMT 2024","Mon Nov 11 14:09:25 GMT 2024","899","Login","Login","API","ApiLoginTests","LoginAi_AuthenticateUserWithoutUsername_UnauthorizedStatusCodeReturns","LoginAi_AuthenticateUserWithoutUsername_UnauthorizedStatusCodeReturns","Authenticate user without email though API"
"passed","Mon Nov 11 14:09:41 GMT 2024","Mon Nov 11 14:09:52 GMT 2024","10757","Login","Login","UI","LoginTests","Login_EmptyPassword_ErrorNotificationAppeared","Login_EmptyPassword_ErrorNotificationAppeared","Login with empty password."
"failed","Mon Nov 11 14:09:40 GMT 2024","Mon Nov 11 14:09:41 GMT 2024","601","Login","Login","API","ApiLoginTests","LoginApi_AuthenticateUserWithInvalidCredentials_UnauthorizedStatusCodeReturns","LoginApi_AuthenticateUserWithInvalidCredentials_UnauthorizedStatusCodeReturns","Authenticate user with invalid credentials though API"
"broken","Mon Nov 11 14:09:41 GMT 2024","Mon Nov 11 14:09:51 GMT 2024","10778","User","UserPopup","Open user popup","UserPopupTests","UserPopup_OpenPopup_PopupIsDisplayed","UserPopup_OpenPopup_PopupIsDisplayed","Open user popup"
"broken","Mon Nov 11 14:09:25 GMT 2024","Mon Nov 11 14:09:41 GMT 2024","16786","User","UserPopup","Popup buttons","UserPopupTests","UserPopup_CheckPopupButton_AllButtonsDisplayed","UserPopup_CheckPopupButton_AllButtonsDisplayed","Open user popup"
"broken","Mon Nov 11 14:09:51 GMT 2024","Mon Nov 11 14:10:03 GMT 2024","12032","Login","LogOut","UI","LoginTests","Login_LogoutFromUserPopup_LoginPageOpened","Login_LogoutFromUserPopup_LoginPageOpened","Log out from header popup. Expected OKTA page with URL: https://coxauto.okta.com opened."
"passed","Mon Nov 11 14:09:41 GMT 2024","Mon Nov 11 14:09:52 GMT 2024","10805","Login","Login","UI","LoginTests","Login_InvalidCredentials_ErrorNotificationAppeared","Login_InvalidCredentials_ErrorNotificationAppeared","Login with invalid credentials."
"broken","Mon Nov 11 14:09:25 GMT 2024","Mon Nov 11 14:09:41 GMT 2024","15767","User","UserPopup","Open user profile","UserPopupTests","UserPopup_CheckProfileButton_ProfilePageOpened","UserPopup_CheckProfileButton_ProfilePageOpened","Open user profile from user popup"
"passed","Mon Nov 11 14:09:52 GMT 2024","Mon Nov 11 14:10:02 GMT 2024","10461","Login","Login","UI","LoginTests","Login_ValidCredentials_LaunchesPageOpened","Login_ValidCredentials_LaunchesPageOpened","Login with valid credentials"
