"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Nov 05 14:07:58 GMT 2024","Tue Nov 05 14:08:32 GMT 2024","34642","Login","Login","UI","LoginTests","Login_EmptyCredentials_ErrorNotificationAppeared","Login_EmptyCredentials_ErrorNotificationAppeared","Login with empty credentials."
"failed","Tue Nov 05 14:08:22 GMT 2024","Tue Nov 05 14:08:23 GMT 2024","605","Login","Login","API","ApiLoginTests","LoginApi_AuthenticateUserWithoutPasswordTest_UnauthorizedStatusCodeReturns","LoginApi_AuthenticateUserWithoutPasswordTest_UnauthorizedStatusCodeReturns","Authenticate user without password though API"
"failed","Tue Nov 05 14:07:58 GMT 2024","Tue Nov 05 14:07:59 GMT 2024","908","Login","Login","API","ApiLoginTests","LoginAi_AuthenticateUserWithoutUsername_UnauthorizedStatusCodeReturns","LoginAi_AuthenticateUserWithoutUsername_UnauthorizedStatusCodeReturns","Authenticate user without email though API"
"passed","Tue Nov 05 14:08:13 GMT 2024","Tue Nov 05 14:08:24 GMT 2024","11704","Login","Login","UI","LoginTests","Login_InvalidCredentials_ErrorNotificationAppeared","Login_InvalidCredentials_ErrorNotificationAppeared","Login with invalid credentials."
"passed","Tue Nov 05 14:08:24 GMT 2024","Tue Nov 05 14:08:34 GMT 2024","9412","Login","Login","UI","LoginTests","Login_ValidCredentials_LaunchesPageOpened","Login_ValidCredentials_LaunchesPageOpened","Login with valid credentials"
"passed","Tue Nov 05 14:08:12 GMT 2024","Tue Nov 05 14:08:22 GMT 2024","10117","Login","Login","UI","LoginTests","Login_EmptyPassword_ErrorNotificationAppeared","Login_EmptyPassword_ErrorNotificationAppeared","Login with empty password."
"broken","Tue Nov 05 14:08:23 GMT 2024","Tue Nov 05 14:08:34 GMT 2024","10746","Login","LogOut","UI","LoginTests","Login_LogoutFromUserPopup_LoginPageOpened","Login_LogoutFromUserPopup_LoginPageOpened","Log out from header popup. Expected OKTA page with URL: https://coxauto.okta.com opened."
"failed","Tue Nov 05 14:08:12 GMT 2024","Tue Nov 05 14:08:13 GMT 2024","587","Login","Login","API","ApiLoginTests","LoginApi_AuthenticateUserWithInvalidCredentials_UnauthorizedStatusCodeReturns","LoginApi_AuthenticateUserWithInvalidCredentials_UnauthorizedStatusCodeReturns","Authenticate user with invalid credentials though API"
"passed","Tue Nov 05 14:07:59 GMT 2024","Tue Nov 05 14:08:12 GMT 2024","13328","Login","Login","UI","LoginTests","Login_EmptyEmail_ErrorNotificationAppeared","Login_EmptyEmail_ErrorNotificationAppeared","Login with empty email."
"broken","Tue Nov 05 14:07:58 GMT 2024","Tue Nov 05 14:08:15 GMT 2024","17691","User","UserPopup","Open user profile","UserPopupTests","UserPopup_CheckProfileButton_ProfilePageOpened","UserPopup_CheckProfileButton_ProfilePageOpened","Open user profile from user popup"
"broken","Tue Nov 05 14:08:15 GMT 2024","Tue Nov 05 14:08:25 GMT 2024","9832","User","UserPopup","Open user popup","UserPopupTests","UserPopup_OpenPopup_PopupIsDisplayed","UserPopup_OpenPopup_PopupIsDisplayed","Open user popup"
"broken","Tue Nov 05 14:08:12 GMT 2024","Tue Nov 05 14:08:12 GMT 2024","544","Login","Login","API","ApiLoginTests","LoginApi_AuthenticateUser_UnauthorizedStatusCodeReturns","LoginApi_AuthenticateUser_UnauthorizedStatusCodeReturns","Authenticate user though API"
"broken","Tue Nov 05 14:07:58 GMT 2024","Tue Nov 05 14:08:12 GMT 2024","13992","User","UserPopup","Popup buttons","UserPopupTests","UserPopup_CheckPopupButton_AllButtonsDisplayed","UserPopup_CheckPopupButton_AllButtonsDisplayed","Open user popup"
