"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Oct 27 14:08:27 GMT 2024","Sun Oct 27 14:08:38 GMT 2024","11125","Login","LogOut","UI","LoginTests","Login_LogoutFromUserPopup_LoginPageOpened","Login_LogoutFromUserPopup_LoginPageOpened","Log out from header popup. Expected OKTA page with URL: https://coxauto.okta.com opened."
"broken","Sun Oct 27 14:08:04 GMT 2024","Sun Oct 27 14:08:45 GMT 2024","40537","Login","Login","UI","LoginTests","Login_EmptyCredentials_ErrorNotificationAppeared","Login_EmptyCredentials_ErrorNotificationAppeared","Login with empty credentials."
"failed","Sun Oct 27 14:08:04 GMT 2024","Sun Oct 27 14:08:05 GMT 2024","791","Login","Login","API","ApiLoginTests","LoginAi_AuthenticateUserWithoutUsername_UnauthorizedStatusCodeReturns","LoginAi_AuthenticateUserWithoutUsername_UnauthorizedStatusCodeReturns","Authenticate user without email though API"
"passed","Sun Oct 27 14:08:26 GMT 2024","Sun Oct 27 14:08:36 GMT 2024","10092","Login","Login","UI","LoginTests","Login_EmptyPassword_ErrorNotificationAppeared","Login_EmptyPassword_ErrorNotificationAppeared","Login with empty password."
"failed","Sun Oct 27 14:08:25 GMT 2024","Sun Oct 27 14:08:26 GMT 2024","457","Login","Login","API","ApiLoginTests","LoginApi_AuthenticateUserWithoutPasswordTest_UnauthorizedStatusCodeReturns","LoginApi_AuthenticateUserWithoutPasswordTest_UnauthorizedStatusCodeReturns","Authenticate user without password though API"
"failed","Sun Oct 27 14:08:25 GMT 2024","Sun Oct 27 14:08:25 GMT 2024","575","Login","Login","API","ApiLoginTests","LoginApi_AuthenticateUserWithInvalidCredentials_UnauthorizedStatusCodeReturns","LoginApi_AuthenticateUserWithInvalidCredentials_UnauthorizedStatusCodeReturns","Authenticate user with invalid credentials though API"
"broken","Sun Oct 27 14:08:05 GMT 2024","Sun Oct 27 14:08:27 GMT 2024","21982","User","UserPopup","Open user profile","UserPopupTests","UserPopup_CheckProfileButton_ProfilePageOpened","UserPopup_CheckProfileButton_ProfilePageOpened","Open user profile from user popup"
"broken","Sun Oct 27 14:08:05 GMT 2024","Sun Oct 27 14:08:05 GMT 2024","501","Login","Login","API","ApiLoginTests","LoginApi_AuthenticateUser_UnauthorizedStatusCodeReturns","LoginApi_AuthenticateUser_UnauthorizedStatusCodeReturns","Authenticate user though API"
"passed","Sun Oct 27 14:08:36 GMT 2024","Sun Oct 27 14:08:45 GMT 2024","9263","Login","Login","UI","LoginTests","Login_ValidCredentials_LaunchesPageOpened","Login_ValidCredentials_LaunchesPageOpened","Login with valid credentials"
"passed","Sun Oct 27 14:08:04 GMT 2024","Sun Oct 27 14:08:25 GMT 2024","20591","Login","Login","UI","LoginTests","Login_EmptyEmail_ErrorNotificationAppeared","Login_EmptyEmail_ErrorNotificationAppeared","Login with empty email."
"broken","Sun Oct 27 14:08:04 GMT 2024","Sun Oct 27 14:08:27 GMT 2024","23183","User","UserPopup","Popup buttons","UserPopupTests","UserPopup_CheckPopupButton_AllButtonsDisplayed","UserPopup_CheckPopupButton_AllButtonsDisplayed","Open user popup"
"failed","Sun Oct 27 14:08:27 GMT 2024","Sun Oct 27 14:08:38 GMT 2024","10409","Login","Login","UI","LoginTests","Login_InvalidCredentials_ErrorNotificationAppeared","Login_InvalidCredentials_ErrorNotificationAppeared","Login with invalid credentials."
"broken","Sun Oct 27 14:08:38 GMT 2024","Sun Oct 27 14:08:45 GMT 2024","7771","User","UserPopup","Open user popup","UserPopupTests","UserPopup_OpenPopup_PopupIsDisplayed","UserPopup_OpenPopup_PopupIsDisplayed","Open user popup"
