"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Nov 09 14:08:09 GMT 2024","Sat Nov 09 14:08:09 GMT 2024","345","Login","Login","API","ApiLoginTests","LoginApi_AuthenticateUser_UnauthorizedStatusCodeReturns","LoginApi_AuthenticateUser_UnauthorizedStatusCodeReturns","Authenticate user though API"
"failed","Sat Nov 09 14:08:10 GMT 2024","Sat Nov 09 14:08:10 GMT 2024","543","Login","Login","API","ApiLoginTests","LoginApi_AuthenticateUserWithoutPasswordTest_UnauthorizedStatusCodeReturns","LoginApi_AuthenticateUserWithoutPasswordTest_UnauthorizedStatusCodeReturns","Authenticate user without password though API"
"failed","Sat Nov 09 14:08:09 GMT 2024","Sat Nov 09 14:08:10 GMT 2024","689","Login","Login","API","ApiLoginTests","LoginApi_AuthenticateUserWithInvalidCredentials_UnauthorizedStatusCodeReturns","LoginApi_AuthenticateUserWithInvalidCredentials_UnauthorizedStatusCodeReturns","Authenticate user with invalid credentials though API"
"broken","Sat Nov 09 14:08:14 GMT 2024","Sat Nov 09 14:08:24 GMT 2024","9783","Login","LogOut","UI","LoginTests","Login_LogoutFromUserPopup_LoginPageOpened","Login_LogoutFromUserPopup_LoginPageOpened","Log out from header popup. Expected OKTA page with URL: https://coxauto.okta.com opened."
"broken","Sat Nov 09 14:07:47 GMT 2024","Sat Nov 09 14:08:27 GMT 2024","39627","Login","Login","UI","LoginTests","Login_EmptyCredentials_ErrorNotificationAppeared","Login_EmptyCredentials_ErrorNotificationAppeared","Login with empty credentials."
"passed","Sat Nov 09 14:07:48 GMT 2024","Sat Nov 09 14:08:07 GMT 2024","18757","Login","Login","UI","LoginTests","Login_EmptyEmail_ErrorNotificationAppeared","Login_EmptyEmail_ErrorNotificationAppeared","Login with empty email."
"passed","Sat Nov 09 14:08:10 GMT 2024","Sat Nov 09 14:08:23 GMT 2024","12685","Login","Login","UI","LoginTests","Login_InvalidCredentials_ErrorNotificationAppeared","Login_InvalidCredentials_ErrorNotificationAppeared","Login with invalid credentials."
"broken","Sat Nov 09 14:07:47 GMT 2024","Sat Nov 09 14:08:09 GMT 2024","21869","User","UserPopup","Popup buttons","UserPopupTests","UserPopup_CheckPopupButton_AllButtonsDisplayed","UserPopup_CheckPopupButton_AllButtonsDisplayed","Open user popup"
"broken","Sat Nov 09 14:08:07 GMT 2024","Sat Nov 09 14:08:14 GMT 2024","7428","User","UserPopup","Open user popup","UserPopupTests","UserPopup_OpenPopup_PopupIsDisplayed","UserPopup_OpenPopup_PopupIsDisplayed","Open user popup"
"broken","Sat Nov 09 14:07:47 GMT 2024","Sat Nov 09 14:08:09 GMT 2024","21870","User","UserPopup","Open user profile","UserPopupTests","UserPopup_CheckProfileButton_ProfilePageOpened","UserPopup_CheckProfileButton_ProfilePageOpened","Open user profile from user popup"
"passed","Sat Nov 09 14:08:18 GMT 2024","Sat Nov 09 14:08:26 GMT 2024","7349","Login","Login","UI","LoginTests","Login_ValidCredentials_LaunchesPageOpened","Login_ValidCredentials_LaunchesPageOpened","Login with valid credentials"
"failed","Sat Nov 09 14:07:47 GMT 2024","Sat Nov 09 14:07:48 GMT 2024","735","Login","Login","API","ApiLoginTests","LoginAi_AuthenticateUserWithoutUsername_UnauthorizedStatusCodeReturns","LoginAi_AuthenticateUserWithoutUsername_UnauthorizedStatusCodeReturns","Authenticate user without email though API"
"passed","Sat Nov 09 14:08:09 GMT 2024","Sat Nov 09 14:08:18 GMT 2024","8713","Login","Login","UI","LoginTests","Login_EmptyPassword_ErrorNotificationAppeared","Login_EmptyPassword_ErrorNotificationAppeared","Login with empty password."
