"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Nov 06 14:08:16 GMT 2024","Wed Nov 06 14:08:17 GMT 2024","813","Login","Login","API","ApiLoginTests","LoginAi_AuthenticateUserWithoutUsername_UnauthorizedStatusCodeReturns","LoginAi_AuthenticateUserWithoutUsername_UnauthorizedStatusCodeReturns","Authenticate user without email though API"
"passed","Wed Nov 06 14:08:18 GMT 2024","Wed Nov 06 14:08:44 GMT 2024","26363","Login","Login","UI","LoginTests","Login_EmptyEmail_ErrorNotificationAppeared","Login_EmptyEmail_ErrorNotificationAppeared","Login with empty email."
"broken","Wed Nov 06 14:08:17 GMT 2024","Wed Nov 06 14:08:18 GMT 2024","363","Login","Login","API","ApiLoginTests","LoginApi_AuthenticateUser_UnauthorizedStatusCodeReturns","LoginApi_AuthenticateUser_UnauthorizedStatusCodeReturns","Authenticate user though API"
"failed","Wed Nov 06 14:08:59 GMT 2024","Wed Nov 06 14:09:00 GMT 2024","1376","Login","Login","API","ApiLoginTests","LoginApi_AuthenticateUserWithoutPasswordTest_UnauthorizedStatusCodeReturns","LoginApi_AuthenticateUserWithoutPasswordTest_UnauthorizedStatusCodeReturns","Authenticate user without password though API"
"broken","Wed Nov 06 14:08:47 GMT 2024","Wed Nov 06 14:08:59 GMT 2024","11755","Login","LogOut","UI","LoginTests","Login_LogoutFromUserPopup_LoginPageOpened","Login_LogoutFromUserPopup_LoginPageOpened","Log out from header popup. Expected OKTA page with URL: https://coxauto.okta.com opened."
"passed","Wed Nov 06 14:08:47 GMT 2024","Wed Nov 06 14:08:56 GMT 2024","9567","Login","Login","UI","LoginTests","Login_InvalidCredentials_ErrorNotificationAppeared","Login_InvalidCredentials_ErrorNotificationAppeared","Login with invalid credentials."
"broken","Wed Nov 06 14:08:56 GMT 2024","Wed Nov 06 14:09:04 GMT 2024","7900","User","UserPopup","Open user popup","UserPopupTests","UserPopup_OpenPopup_PopupIsDisplayed","UserPopup_OpenPopup_PopupIsDisplayed","Open user popup"
"passed","Wed Nov 06 14:08:54 GMT 2024","Wed Nov 06 14:09:04 GMT 2024","9376","Login","Login","UI","LoginTests","Login_ValidCredentials_LaunchesPageOpened","Login_ValidCredentials_LaunchesPageOpened","Login with valid credentials"
"broken","Wed Nov 06 14:08:16 GMT 2024","Wed Nov 06 14:08:47 GMT 2024","30369","User","UserPopup","Popup buttons","UserPopupTests","UserPopup_CheckPopupButton_AllButtonsDisplayed","UserPopup_CheckPopupButton_AllButtonsDisplayed","Open user popup"
"broken","Wed Nov 06 14:08:16 GMT 2024","Wed Nov 06 14:09:04 GMT 2024","47536","Login","Login","UI","LoginTests","Login_EmptyCredentials_ErrorNotificationAppeared","Login_EmptyCredentials_ErrorNotificationAppeared","Login with empty credentials."
"broken","Wed Nov 06 14:08:16 GMT 2024","Wed Nov 06 14:08:47 GMT 2024","30363","User","UserPopup","Open user profile","UserPopupTests","UserPopup_CheckProfileButton_ProfilePageOpened","UserPopup_CheckProfileButton_ProfilePageOpened","Open user profile from user popup"
"failed","Wed Nov 06 14:08:44 GMT 2024","Wed Nov 06 14:08:44 GMT 2024","455","Login","Login","API","ApiLoginTests","LoginApi_AuthenticateUserWithInvalidCredentials_UnauthorizedStatusCodeReturns","LoginApi_AuthenticateUserWithInvalidCredentials_UnauthorizedStatusCodeReturns","Authenticate user with invalid credentials though API"
"passed","Wed Nov 06 14:08:44 GMT 2024","Wed Nov 06 14:08:54 GMT 2024","9982","Login","Login","UI","LoginTests","Login_EmptyPassword_ErrorNotificationAppeared","Login_EmptyPassword_ErrorNotificationAppeared","Login with empty password."
