"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Oct 15 14:08:40 GMT 2024","Tue Oct 15 14:08:49 GMT 2024","8700","User","UserPopup","Open user popup","UserPopupTests","UserPopup_OpenPopup_PopupIsDisplayed","UserPopup_OpenPopup_PopupIsDisplayed","Open user popup"
"passed","Tue Oct 15 14:08:13 GMT 2024","Tue Oct 15 14:08:27 GMT 2024","13670","Login","Login","UI","LoginTests","Login_EmptyEmail_ErrorNotificationAppeared","Login_EmptyEmail_ErrorNotificationAppeared","Login with empty email."
"passed","Tue Oct 15 14:08:30 GMT 2024","Tue Oct 15 14:08:40 GMT 2024","9800","Login","Login","UI","LoginTests","Login_ValidCredentials_LaunchesPageOpened","Login_ValidCredentials_LaunchesPageOpened","Login with valid credentials"
"broken","Tue Oct 15 14:08:13 GMT 2024","Tue Oct 15 14:08:28 GMT 2024","15057","User","UserPopup","Popup buttons","UserPopupTests","UserPopup_CheckPopupButton_AllButtonsDisplayed","UserPopup_CheckPopupButton_AllButtonsDisplayed","Open user popup"
"failed","Tue Oct 15 14:08:28 GMT 2024","Tue Oct 15 14:08:30 GMT 2024","1599","Login","Login","API","ApiLoginTests","LoginApi_AuthenticateUserWithInvalidCredentials_UnauthorizedStatusCodeReturns","LoginApi_AuthenticateUserWithInvalidCredentials_UnauthorizedStatusCodeReturns","Authenticate user with invalid credentials though API"
"broken","Tue Oct 15 14:08:14 GMT 2024","Tue Oct 15 14:08:15 GMT 2024","506","Login","Login","API","ApiLoginTests","LoginApi_AuthenticateUser_UnauthorizedStatusCodeReturns","LoginApi_AuthenticateUser_UnauthorizedStatusCodeReturns","Authenticate user though API"
"broken","Tue Oct 15 14:08:28 GMT 2024","Tue Oct 15 14:08:40 GMT 2024","12043","Login","LogOut","UI","LoginTests","Login_LogoutFromUserPopup_LoginPageOpened","Login_LogoutFromUserPopup_LoginPageOpened","Log out from header popup. Expected OKTA page with URL: https://coxauto.okta.com opened."
"failed","Tue Oct 15 14:08:39 GMT 2024","Tue Oct 15 14:08:39 GMT 2024","560","Login","Login","API","ApiLoginTests","LoginApi_AuthenticateUserWithoutPasswordTest_UnauthorizedStatusCodeReturns","LoginApi_AuthenticateUserWithoutPasswordTest_UnauthorizedStatusCodeReturns","Authenticate user without password though API"
"passed","Tue Oct 15 14:08:15 GMT 2024","Tue Oct 15 14:08:28 GMT 2024","13637","Login","Login","UI","LoginTests","Login_EmptyPassword_ErrorNotificationAppeared","Login_EmptyPassword_ErrorNotificationAppeared","Login with empty password."
"broken","Tue Oct 15 14:08:39 GMT 2024","Tue Oct 15 14:08:48 GMT 2024","8762","User","UserPopup","Open user profile","UserPopupTests","UserPopup_CheckProfileButton_ProfilePageOpened","UserPopup_CheckProfileButton_ProfilePageOpened","Open user profile from user popup"
"broken","Tue Oct 15 14:08:13 GMT 2024","Tue Oct 15 14:08:47 GMT 2024","33564","Login","Login","UI","LoginTests","Login_EmptyCredentials_ErrorNotificationAppeared","Login_EmptyCredentials_ErrorNotificationAppeared","Login with empty credentials."
"failed","Tue Oct 15 14:08:13 GMT 2024","Tue Oct 15 14:08:14 GMT 2024","752","Login","Login","API","ApiLoginTests","LoginAi_AuthenticateUserWithoutUsername_UnauthorizedStatusCodeReturns","LoginAi_AuthenticateUserWithoutUsername_UnauthorizedStatusCodeReturns","Authenticate user without email though API"
"failed","Tue Oct 15 14:08:27 GMT 2024","Tue Oct 15 14:08:39 GMT 2024","11492","Login","Login","UI","LoginTests","Login_InvalidCredentials_ErrorNotificationAppeared","Login_InvalidCredentials_ErrorNotificationAppeared","Login with invalid credentials."
