"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 10 14:06:32 GMT 2024","Sun Nov 10 14:06:50 GMT 2024","17640","Login","Login","UI","LoginTests","Login_EmptyPassword_ErrorNotificationAppeared","Login_EmptyPassword_ErrorNotificationAppeared","Login with empty password."
"passed","Sun Nov 10 14:06:32 GMT 2024","Sun Nov 10 14:06:49 GMT 2024","17647","Login","Login","UI","LoginTests","Login_EmptyEmail_ErrorNotificationAppeared","Login_EmptyEmail_ErrorNotificationAppeared","Login with empty email."
"passed","Sun Nov 10 14:06:49 GMT 2024","Sun Nov 10 14:06:58 GMT 2024","8685","Login","Login","UI","LoginTests","Login_InvalidCredentials_ErrorNotificationAppeared","Login_InvalidCredentials_ErrorNotificationAppeared","Login with invalid credentials."
"broken","Sun Nov 10 14:07:00 GMT 2024","Sun Nov 10 14:07:08 GMT 2024","7372","User","UserPopup","Open user profile","UserPopupTests","UserPopup_CheckProfileButton_ProfilePageOpened","UserPopup_CheckProfileButton_ProfilePageOpened","Open user profile from user popup"
"passed","Sun Nov 10 14:06:58 GMT 2024","Sun Nov 10 14:07:07 GMT 2024","9476","Login","Login","UI","LoginTests","Login_ValidCredentials_LaunchesPageOpened","Login_ValidCredentials_LaunchesPageOpened","Login with valid credentials"
"broken","Sun Nov 10 14:06:31 GMT 2024","Sun Nov 10 14:07:11 GMT 2024","39704","Login","Login","UI","LoginTests","Login_EmptyCredentials_ErrorNotificationAppeared","Login_EmptyCredentials_ErrorNotificationAppeared","Login with empty credentials."
"broken","Sun Nov 10 14:06:50 GMT 2024","Sun Nov 10 14:07:00 GMT 2024","10348","Login","LogOut","UI","LoginTests","Login_LogoutFromUserPopup_LoginPageOpened","Login_LogoutFromUserPopup_LoginPageOpened","Log out from header popup. Expected OKTA page with URL: https://coxauto.okta.com opened."
"failed","Sun Nov 10 14:06:31 GMT 2024","Sun Nov 10 14:06:32 GMT 2024","884","Login","Login","API","ApiLoginTests","LoginAi_AuthenticateUserWithoutUsername_UnauthorizedStatusCodeReturns","LoginAi_AuthenticateUserWithoutUsername_UnauthorizedStatusCodeReturns","Authenticate user without email though API"
"failed","Sun Nov 10 14:07:08 GMT 2024","Sun Nov 10 14:07:08 GMT 2024","532","Login","Login","API","ApiLoginTests","LoginApi_AuthenticateUserWithoutPasswordTest_UnauthorizedStatusCodeReturns","LoginApi_AuthenticateUserWithoutPasswordTest_UnauthorizedStatusCodeReturns","Authenticate user without password though API"
"broken","Sun Nov 10 14:07:07 GMT 2024","Sun Nov 10 14:07:15 GMT 2024","7196","User","UserPopup","Open user popup","UserPopupTests","UserPopup_OpenPopup_PopupIsDisplayed","UserPopup_OpenPopup_PopupIsDisplayed","Open user popup"
"broken","Sun Nov 10 14:06:31 GMT 2024","Sun Nov 10 14:07:28 GMT 2024","56814","User","UserPopup","Popup buttons","UserPopupTests","UserPopup_CheckPopupButton_AllButtonsDisplayed","UserPopup_CheckPopupButton_AllButtonsDisplayed","Open user popup"
"failed","Sun Nov 10 14:06:32 GMT 2024","Sun Nov 10 14:06:32 GMT 2024","524","Login","Login","API","ApiLoginTests","LoginApi_AuthenticateUserWithInvalidCredentials_UnauthorizedStatusCodeReturns","LoginApi_AuthenticateUserWithInvalidCredentials_UnauthorizedStatusCodeReturns","Authenticate user with invalid credentials though API"
"broken","Sun Nov 10 14:06:31 GMT 2024","Sun Nov 10 14:06:31 GMT 2024","643","Login","Login","API","ApiLoginTests","LoginApi_AuthenticateUser_UnauthorizedStatusCodeReturns","LoginApi_AuthenticateUser_UnauthorizedStatusCodeReturns","Authenticate user though API"
