"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Oct 22 14:08:23 GMT 2024","Tue Oct 22 14:08:24 GMT 2024","690","Login","Login","API","ApiLoginTests","LoginApi_AuthenticateUserWithoutPasswordTest_UnauthorizedStatusCodeReturns","LoginApi_AuthenticateUserWithoutPasswordTest_UnauthorizedStatusCodeReturns","Authenticate user without password though API"
"passed","Tue Oct 22 14:08:38 GMT 2024","Tue Oct 22 14:08:47 GMT 2024","9898","Login","Login","UI","LoginTests","Login_EmptyPassword_ErrorNotificationAppeared","Login_EmptyPassword_ErrorNotificationAppeared","Login with empty password."
"broken","Tue Oct 22 14:08:22 GMT 2024","Tue Oct 22 14:08:56 GMT 2024","33409","Login","Login","UI","LoginTests","Login_EmptyCredentials_ErrorNotificationAppeared","Login_EmptyCredentials_ErrorNotificationAppeared","Login with empty credentials."
"passed","Tue Oct 22 14:08:24 GMT 2024","Tue Oct 22 14:08:37 GMT 2024","13073","Login","Login","UI","LoginTests","Login_EmptyEmail_ErrorNotificationAppeared","Login_EmptyEmail_ErrorNotificationAppeared","Login with empty email."
"broken","Tue Oct 22 14:08:23 GMT 2024","Tue Oct 22 14:08:39 GMT 2024","15460","User","UserPopup","Open user profile","UserPopupTests","UserPopup_CheckProfileButton_ProfilePageOpened","UserPopup_CheckProfileButton_ProfilePageOpened","Open user profile from user popup"
"passed","Tue Oct 22 14:08:48 GMT 2024","Tue Oct 22 14:08:57 GMT 2024","9054","Login","Login","UI","LoginTests","Login_ValidCredentials_LaunchesPageOpened","Login_ValidCredentials_LaunchesPageOpened","Login with valid credentials"
"broken","Tue Oct 22 14:08:22 GMT 2024","Tue Oct 22 14:08:23 GMT 2024","673","Login","Login","API","ApiLoginTests","LoginApi_AuthenticateUser_UnauthorizedStatusCodeReturns","LoginApi_AuthenticateUser_UnauthorizedStatusCodeReturns","Authenticate user though API"
"passed","Tue Oct 22 14:08:39 GMT 2024","Tue Oct 22 14:08:48 GMT 2024","9139","Login","Login","UI","LoginTests","Login_InvalidCredentials_ErrorNotificationAppeared","Login_InvalidCredentials_ErrorNotificationAppeared","Login with invalid credentials."
"failed","Tue Oct 22 14:08:23 GMT 2024","Tue Oct 22 14:08:23 GMT 2024","515","Login","Login","API","ApiLoginTests","LoginApi_AuthenticateUserWithInvalidCredentials_UnauthorizedStatusCodeReturns","LoginApi_AuthenticateUserWithInvalidCredentials_UnauthorizedStatusCodeReturns","Authenticate user with invalid credentials though API"
"broken","Tue Oct 22 14:08:37 GMT 2024","Tue Oct 22 14:08:48 GMT 2024","11444","User","UserPopup","Open user popup","UserPopupTests","UserPopup_OpenPopup_PopupIsDisplayed","UserPopup_OpenPopup_PopupIsDisplayed","Open user popup"
"failed","Tue Oct 22 14:08:22 GMT 2024","Tue Oct 22 14:08:23 GMT 2024","733","Login","Login","API","ApiLoginTests","LoginAi_AuthenticateUserWithoutUsername_UnauthorizedStatusCodeReturns","LoginAi_AuthenticateUserWithoutUsername_UnauthorizedStatusCodeReturns","Authenticate user without email though API"
"broken","Tue Oct 22 14:08:47 GMT 2024","Tue Oct 22 14:08:57 GMT 2024","9645","Login","LogOut","UI","LoginTests","Login_LogoutFromUserPopup_LoginPageOpened","Login_LogoutFromUserPopup_LoginPageOpened","Log out from header popup. Expected OKTA page with URL: https://coxauto.okta.com opened."
"broken","Tue Oct 22 14:08:22 GMT 2024","Tue Oct 22 14:08:38 GMT 2024","15455","User","UserPopup","Popup buttons","UserPopupTests","UserPopup_CheckPopupButton_AllButtonsDisplayed","UserPopup_CheckPopupButton_AllButtonsDisplayed","Open user popup"
