"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Oct 23 14:08:15 GMT 2024","Wed Oct 23 14:08:16 GMT 2024","745","Login","Login","API","ApiLoginTests","LoginAi_AuthenticateUserWithoutUsername_UnauthorizedStatusCodeReturns","LoginAi_AuthenticateUserWithoutUsername_UnauthorizedStatusCodeReturns","Authenticate user without email though API"
"passed","Wed Oct 23 14:08:36 GMT 2024","Wed Oct 23 14:08:44 GMT 2024","7930","Login","Login","UI","LoginTests","Login_EmptyPassword_ErrorNotificationAppeared","Login_EmptyPassword_ErrorNotificationAppeared","Login with empty password."
"broken","Wed Oct 23 14:08:15 GMT 2024","Wed Oct 23 14:08:36 GMT 2024","21143","User","UserPopup","Open user profile","UserPopupTests","UserPopup_CheckProfileButton_ProfilePageOpened","UserPopup_CheckProfileButton_ProfilePageOpened","Open user profile from user popup"
"passed","Wed Oct 23 14:08:37 GMT 2024","Wed Oct 23 14:08:46 GMT 2024","8793","Login","Login","UI","LoginTests","Login_InvalidCredentials_ErrorNotificationAppeared","Login_InvalidCredentials_ErrorNotificationAppeared","Login with invalid credentials."
"failed","Wed Oct 23 14:08:44 GMT 2024","Wed Oct 23 14:08:46 GMT 2024","2315","Login","Login","API","ApiLoginTests","LoginApi_AuthenticateUserWithoutPasswordTest_UnauthorizedStatusCodeReturns","LoginApi_AuthenticateUserWithoutPasswordTest_UnauthorizedStatusCodeReturns","Authenticate user without password though API"
"broken","Wed Oct 23 14:08:15 GMT 2024","Wed Oct 23 14:08:53 GMT 2024","37858","Login","Login","UI","LoginTests","Login_EmptyCredentials_ErrorNotificationAppeared","Login_EmptyCredentials_ErrorNotificationAppeared","Login with empty credentials."
"broken","Wed Oct 23 14:08:16 GMT 2024","Wed Oct 23 14:08:16 GMT 2024","427","Login","Login","API","ApiLoginTests","LoginApi_AuthenticateUser_UnauthorizedStatusCodeReturns","LoginApi_AuthenticateUser_UnauthorizedStatusCodeReturns","Authenticate user though API"
"passed","Wed Oct 23 14:08:46 GMT 2024","Wed Oct 23 14:08:53 GMT 2024","7126","Login","Login","UI","LoginTests","Login_ValidCredentials_LaunchesPageOpened","Login_ValidCredentials_LaunchesPageOpened","Login with valid credentials"
"failed","Wed Oct 23 14:08:36 GMT 2024","Wed Oct 23 14:08:37 GMT 2024","1030","Login","Login","API","ApiLoginTests","LoginApi_AuthenticateUserWithInvalidCredentials_UnauthorizedStatusCodeReturns","LoginApi_AuthenticateUserWithInvalidCredentials_UnauthorizedStatusCodeReturns","Authenticate user with invalid credentials though API"
"passed","Wed Oct 23 14:08:16 GMT 2024","Wed Oct 23 14:08:34 GMT 2024","17599","Login","Login","UI","LoginTests","Login_EmptyEmail_ErrorNotificationAppeared","Login_EmptyEmail_ErrorNotificationAppeared","Login with empty email."
"broken","Wed Oct 23 14:08:34 GMT 2024","Wed Oct 23 14:08:43 GMT 2024","9437","User","UserPopup","Open user popup","UserPopupTests","UserPopup_OpenPopup_PopupIsDisplayed","UserPopup_OpenPopup_PopupIsDisplayed","Open user popup"
"broken","Wed Oct 23 14:08:43 GMT 2024","Wed Oct 23 14:08:53 GMT 2024","9982","Login","LogOut","UI","LoginTests","Login_LogoutFromUserPopup_LoginPageOpened","Login_LogoutFromUserPopup_LoginPageOpened","Log out from header popup. Expected OKTA page with URL: https://coxauto.okta.com opened."
"broken","Wed Oct 23 14:08:15 GMT 2024","Wed Oct 23 14:08:36 GMT 2024","21238","User","UserPopup","Popup buttons","UserPopupTests","UserPopup_CheckPopupButton_AllButtonsDisplayed","UserPopup_CheckPopupButton_AllButtonsDisplayed","Open user popup"
