"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 15 11:04:06 GMT 2024","Tue Oct 15 11:04:17 GMT 2024","10491","Login","Login","","LoginTests","Login_InvalidCredentials_ErrorNotificationAppeared","Login_InvalidCredentials_ErrorNotificationAppeared","Login with invalid credentials."
"broken","Tue Oct 15 11:03:48 GMT 2024","Tue Oct 15 11:04:06 GMT 2024","17787","","","","UserPopupTests","UserPopup_CheckProfileButton_ProfilePageOpened","UserPopup_CheckProfileButton_ProfilePageOpened",""
"passed","Tue Oct 15 11:04:06 GMT 2024","Tue Oct 15 11:04:16 GMT 2024","9933","Login","Login","","LoginTests","Login_EmptyPassword_ErrorNotificationAppeared","Login_EmptyPassword_ErrorNotificationAppeared","Login with empty password."
"passed","Tue Oct 15 11:04:16 GMT 2024","Tue Oct 15 11:04:23 GMT 2024","7427","Login","Login","","LoginTests","Login_ValidCredentials_LaunchesPageOpened","Login_ValidCredentials_LaunchesPageOpened","Login with valid credentials"
"broken","Tue Oct 15 11:03:48 GMT 2024","Tue Oct 15 11:04:06 GMT 2024","18601","","","","UserPopupTests","UserPopup_CheckPopupButton_AllButtonsDisplayed","UserPopup_CheckPopupButton_AllButtonsDisplayed",""
"passed","Tue Oct 15 11:03:48 GMT 2024","Tue Oct 15 11:04:01 GMT 2024","13544","Login","Login","","LoginTests","Login_EmptyEmail_ErrorNotificationAppeared","Login_EmptyEmail_ErrorNotificationAppeared","Login with empty email."
"broken","Tue Oct 15 11:04:01 GMT 2024","Tue Oct 15 11:04:09 GMT 2024","7888","","","","UserPopupTests","UserPopup_OpenPopup_PopupIsDisplayed","UserPopup_OpenPopup_PopupIsDisplayed",""
"broken","Tue Oct 15 11:03:48 GMT 2024","Tue Oct 15 11:04:21 GMT 2024","32909","Login","Login","","LoginTests","Login_EmptyCredentials_ErrorNotificationAppeared","Login_EmptyCredentials_ErrorNotificationAppeared","Login with empty credentials."
"broken","Tue Oct 15 11:04:09 GMT 2024","Tue Oct 15 11:04:19 GMT 2024","10064","Login","LogOut","","LoginTests","Login_LogoutFromUserPopup_LoginPageOpened","Login_LogoutFromUserPopup_LoginPageOpened","Log out from header popup. Expected OKTA page with URL: https://coxauto.okta.com opened."
