"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 20 14:08:17 GMT 2024","Sun Oct 20 14:08:25 GMT 2024","7863","Login","Login","UI","LoginTests","Login_EmptyPassword_ErrorNotificationAppeared","Login_EmptyPassword_ErrorNotificationAppeared","Login with empty password."
"failed","Sun Oct 20 14:08:18 GMT 2024","Sun Oct 20 14:08:21 GMT 2024","2317","Login","Login","API","ApiLoginTests","LoginApi_AuthenticateUserWithoutPasswordTest_UnauthorizedStatusCodeReturns","LoginApi_AuthenticateUserWithoutPasswordTest_UnauthorizedStatusCodeReturns","Authenticate user without password though API"
"passed","Sun Oct 20 14:08:25 GMT 2024","Sun Oct 20 14:08:33 GMT 2024","8225","Login","Login","UI","LoginTests","Login_ValidCredentials_LaunchesPageOpened","Login_ValidCredentials_LaunchesPageOpened","Login with valid credentials"
"broken","Sun Oct 20 14:08:14 GMT 2024","Sun Oct 20 14:08:22 GMT 2024","8361","User","UserPopup","Open user popup","UserPopupTests","UserPopup_OpenPopup_PopupIsDisplayed","UserPopup_OpenPopup_PopupIsDisplayed","Open user popup"
"broken","Sun Oct 20 14:08:02 GMT 2024","Sun Oct 20 14:08:36 GMT 2024","33616","Login","Login","UI","LoginTests","Login_EmptyCredentials_ErrorNotificationAppeared","Login_EmptyCredentials_ErrorNotificationAppeared","Login with empty credentials."
"broken","Sun Oct 20 14:08:03 GMT 2024","Sun Oct 20 14:08:14 GMT 2024","10571","User","UserPopup","Open user profile","UserPopupTests","UserPopup_CheckProfileButton_ProfilePageOpened","UserPopup_CheckProfileButton_ProfilePageOpened","Open user profile from user popup"
"passed","Sun Oct 20 14:08:21 GMT 2024","Sun Oct 20 14:08:32 GMT 2024","11060","Login","Login","UI","LoginTests","Login_InvalidCredentials_ErrorNotificationAppeared","Login_InvalidCredentials_ErrorNotificationAppeared","Login with invalid credentials."
"broken","Sun Oct 20 14:08:22 GMT 2024","Sun Oct 20 14:08:34 GMT 2024","12048","Login","LogOut","UI","LoginTests","Login_LogoutFromUserPopup_LoginPageOpened","Login_LogoutFromUserPopup_LoginPageOpened","Log out from header popup. Expected OKTA page with URL: https://coxauto.okta.com opened."
"passed","Sun Oct 20 14:08:03 GMT 2024","Sun Oct 20 14:08:17 GMT 2024","13501","Login","Login","UI","LoginTests","Login_EmptyEmail_ErrorNotificationAppeared","Login_EmptyEmail_ErrorNotificationAppeared","Login with empty email."
"broken","Sun Oct 20 14:08:02 GMT 2024","Sun Oct 20 14:08:03 GMT 2024","671","Login","Login","API","ApiLoginTests","LoginApi_AuthenticateUser_UnauthorizedStatusCodeReturns","LoginApi_AuthenticateUser_UnauthorizedStatusCodeReturns","Authenticate user though API"
"broken","Sun Oct 20 14:08:02 GMT 2024","Sun Oct 20 14:08:18 GMT 2024","15838","User","UserPopup","Popup buttons","UserPopupTests","UserPopup_CheckPopupButton_AllButtonsDisplayed","UserPopup_CheckPopupButton_AllButtonsDisplayed","Open user popup"
"failed","Sun Oct 20 14:08:17 GMT 2024","Sun Oct 20 14:08:17 GMT 2024","762","Login","Login","API","ApiLoginTests","LoginApi_AuthenticateUserWithInvalidCredentials_UnauthorizedStatusCodeReturns","LoginApi_AuthenticateUserWithInvalidCredentials_UnauthorizedStatusCodeReturns","Authenticate user with invalid credentials though API"
"failed","Sun Oct 20 14:08:02 GMT 2024","Sun Oct 20 14:08:03 GMT 2024","683","Login","Login","API","ApiLoginTests","LoginAi_AuthenticateUserWithoutUsername_UnauthorizedStatusCodeReturns","LoginAi_AuthenticateUserWithoutUsername_UnauthorizedStatusCodeReturns","Authenticate user without email though API"
