"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Oct 19 14:08:05 GMT 2024","Sat Oct 19 14:08:13 GMT 2024","7974","Login","Login","UI","LoginTests","Login_EmptyPassword_ErrorNotificationAppeared","Login_EmptyPassword_ErrorNotificationAppeared","Login with empty password."
"broken","Sat Oct 19 14:08:15 GMT 2024","Sat Oct 19 14:08:23 GMT 2024","8465","User","UserPopup","Open user popup","UserPopupTests","UserPopup_OpenPopup_PopupIsDisplayed","UserPopup_OpenPopup_PopupIsDisplayed","Open user popup"
"broken","Sat Oct 19 14:08:13 GMT 2024","Sat Oct 19 14:08:24 GMT 2024","10703","Login","LogOut","UI","LoginTests","Login_LogoutFromUserPopup_LoginPageOpened","Login_LogoutFromUserPopup_LoginPageOpened","Log out from header popup. Expected OKTA page with URL: https://coxauto.okta.com opened."
"broken","Sat Oct 19 14:07:39 GMT 2024","Sat Oct 19 14:08:43 GMT 2024","63947","User","UserPopup","Popup buttons","UserPopupTests","UserPopup_CheckPopupButton_AllButtonsDisplayed","UserPopup_CheckPopupButton_AllButtonsDisplayed","Open user popup"
"passed","Sat Oct 19 14:08:06 GMT 2024","Sat Oct 19 14:08:15 GMT 2024","8806","Login","Login","UI","LoginTests","Login_InvalidCredentials_ErrorNotificationAppeared","Login_InvalidCredentials_ErrorNotificationAppeared","Login with invalid credentials."
"broken","Sat Oct 19 14:07:41 GMT 2024","Sat Oct 19 14:08:06 GMT 2024","25381","User","UserPopup","Open user profile","UserPopupTests","UserPopup_CheckProfileButton_ProfilePageOpened","UserPopup_CheckProfileButton_ProfilePageOpened","Open user profile from user popup"
"broken","Sat Oct 19 14:07:39 GMT 2024","Sat Oct 19 14:08:25 GMT 2024","45384","Login","Login","UI","LoginTests","Login_EmptyCredentials_ErrorNotificationAppeared","Login_EmptyCredentials_ErrorNotificationAppeared","Login with empty credentials."
"passed","Sat Oct 19 14:07:41 GMT 2024","Sat Oct 19 14:08:05 GMT 2024","24351","Login","Login","UI","LoginTests","Login_EmptyEmail_ErrorNotificationAppeared","Login_EmptyEmail_ErrorNotificationAppeared","Login with empty email."
"broken","Sat Oct 19 14:07:39 GMT 2024","Sat Oct 19 14:07:40 GMT 2024","626","Login","Login","API","ApiLoginTests","LoginApi_AuthenticateUser_UnauthorizedStatusCodeReturns","LoginApi_AuthenticateUser_UnauthorizedStatusCodeReturns","Authenticate user though API"
"passed","Sat Oct 19 14:08:23 GMT 2024","Sat Oct 19 14:08:31 GMT 2024","7206","Login","Login","UI","LoginTests","Login_ValidCredentials_LaunchesPageOpened","Login_ValidCredentials_LaunchesPageOpened","Login with valid credentials"
"failed","Sat Oct 19 14:07:39 GMT 2024","Sat Oct 19 14:07:40 GMT 2024","791","Login","Login","API","ApiLoginTests","LoginAi_AuthenticateUserWithoutUsername_UnauthorizedStatusCodeReturns","LoginAi_AuthenticateUserWithoutUsername_UnauthorizedStatusCodeReturns","Authenticate user without email though API"
"failed","Sat Oct 19 14:07:40 GMT 2024","Sat Oct 19 14:07:41 GMT 2024","465","Login","Login","API","ApiLoginTests","LoginApi_AuthenticateUserWithoutPasswordTest_UnauthorizedStatusCodeReturns","LoginApi_AuthenticateUserWithoutPasswordTest_UnauthorizedStatusCodeReturns","Authenticate user without password though API"
"failed","Sat Oct 19 14:07:40 GMT 2024","Sat Oct 19 14:07:41 GMT 2024","452","Login","Login","API","ApiLoginTests","LoginApi_AuthenticateUserWithInvalidCredentials_UnauthorizedStatusCodeReturns","LoginApi_AuthenticateUserWithInvalidCredentials_UnauthorizedStatusCodeReturns","Authenticate user with invalid credentials though API"
