"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Nov 16 14:07:28 GMT 2024","Sat Nov 16 14:07:53 GMT 2024","25771","User","UserPopup","Popup buttons","UserPopupTests","UserPopup_CheckPopupButton_AllButtonsDisplayed","UserPopup_CheckPopupButton_AllButtonsDisplayed","Open user popup"
"failed","Sat Nov 16 14:07:28 GMT 2024","Sat Nov 16 14:07:29 GMT 2024","485","Login","Login","API","ApiLoginTests","LoginApi_AuthenticateUserWithInvalidCredentials_UnauthorizedStatusCodeReturns","LoginApi_AuthenticateUserWithInvalidCredentials_UnauthorizedStatusCodeReturns","Authenticate user with invalid credentials though API"
"broken","Sat Nov 16 14:07:29 GMT 2024","Sat Nov 16 14:08:10 GMT 2024","41024","Login","Login","UI","LoginTests","Login_EmptyCredentials_ErrorNotificationAppeared","Login_EmptyCredentials_ErrorNotificationAppeared","Login with empty credentials."
"failed","Sat Nov 16 14:07:28 GMT 2024","Sat Nov 16 14:07:29 GMT 2024","988","Login","Login","API","ApiLoginTests","LoginAi_AuthenticateUserWithoutUsername_UnauthorizedStatusCodeReturns","LoginAi_AuthenticateUserWithoutUsername_UnauthorizedStatusCodeReturns","Authenticate user without email though API"
"broken","Sat Nov 16 14:07:28 GMT 2024","Sat Nov 16 14:07:28 GMT 2024","732","Login","Login","API","ApiLoginTests","LoginApi_AuthenticateUser_UnauthorizedStatusCodeReturns","LoginApi_AuthenticateUser_UnauthorizedStatusCodeReturns","Authenticate user though API"
"passed","Sat Nov 16 14:07:53 GMT 2024","Sat Nov 16 14:08:03 GMT 2024","9924","Login","Login","UI","LoginTests","Login_EmptyEmail_ErrorNotificationAppeared","Login_EmptyEmail_ErrorNotificationAppeared","Login with empty email."
"broken","Sat Nov 16 14:07:29 GMT 2024","Sat Nov 16 14:07:54 GMT 2024","25256","User","UserPopup","Open user popup","UserPopupTests","UserPopup_OpenPopup_PopupIsDisplayed","UserPopup_OpenPopup_PopupIsDisplayed","Open user popup"
"broken","Sat Nov 16 14:08:03 GMT 2024","Sat Nov 16 14:08:13 GMT 2024","10150","Login","LogOut","UI","LoginTests","Login_LogoutFromUserPopup_LoginPageOpened","Login_LogoutFromUserPopup_LoginPageOpened","Log out from header popup. Expected OKTA page with URL: https://coxauto.okta.com opened."
"broken","Sat Nov 16 14:07:28 GMT 2024","Sat Nov 16 14:07:53 GMT 2024","25176","User","UserPopup","Open user profile","UserPopupTests","UserPopup_CheckProfileButton_ProfilePageOpened","UserPopup_CheckProfileButton_ProfilePageOpened","Open user profile from user popup"
"failed","Sat Nov 16 14:07:53 GMT 2024","Sat Nov 16 14:07:54 GMT 2024","485","Login","Login","API","ApiLoginTests","LoginApi_AuthenticateUserWithoutPasswordTest_UnauthorizedStatusCodeReturns","LoginApi_AuthenticateUserWithoutPasswordTest_UnauthorizedStatusCodeReturns","Authenticate user without password though API"
"passed","Sat Nov 16 14:07:54 GMT 2024","Sat Nov 16 14:08:04 GMT 2024","9987","Login","Login","UI","LoginTests","Login_EmptyPassword_ErrorNotificationAppeared","Login_EmptyPassword_ErrorNotificationAppeared","Login with empty password."
"passed","Sat Nov 16 14:08:04 GMT 2024","Sat Nov 16 14:08:13 GMT 2024","8719","Login","Login","UI","LoginTests","Login_ValidCredentials_LaunchesPageOpened","Login_ValidCredentials_LaunchesPageOpened","Login with valid credentials"
"passed","Sat Nov 16 14:07:54 GMT 2024","Sat Nov 16 14:08:04 GMT 2024","10407","Login","Login","UI","LoginTests","Login_InvalidCredentials_ErrorNotificationAppeared","Login_InvalidCredentials_ErrorNotificationAppeared","Login with invalid credentials."
