"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Nov 07 14:08:02 GMT 2024","Thu Nov 07 14:09:01 GMT 2024","59402","User","UserPopup","Popup buttons","UserPopupTests","UserPopup_CheckPopupButton_AllButtonsDisplayed","UserPopup_CheckPopupButton_AllButtonsDisplayed","Open user popup"
"failed","Thu Nov 07 14:08:02 GMT 2024","Thu Nov 07 14:08:02 GMT 2024","762","Login","Login","API","ApiLoginTests","LoginAi_AuthenticateUserWithoutUsername_UnauthorizedStatusCodeReturns","LoginAi_AuthenticateUserWithoutUsername_UnauthorizedStatusCodeReturns","Authenticate user without email though API"
"broken","Thu Nov 07 14:08:41 GMT 2024","Thu Nov 07 14:09:26 GMT 2024","44580","User","UserPopup","Open user profile","UserPopupTests","UserPopup_CheckProfileButton_ProfilePageOpened","UserPopup_CheckProfileButton_ProfilePageOpened","Open user profile from user popup"
"broken","Thu Nov 07 14:08:02 GMT 2024","Thu Nov 07 14:08:03 GMT 2024","544","Login","Login","API","ApiLoginTests","LoginApi_AuthenticateUser_UnauthorizedStatusCodeReturns","LoginApi_AuthenticateUser_UnauthorizedStatusCodeReturns","Authenticate user though API"
"broken","Thu Nov 07 14:08:02 GMT 2024","Thu Nov 07 14:08:41 GMT 2024","39794","Login","Login","UI","LoginTests","Login_EmptyCredentials_ErrorNotificationAppeared","Login_EmptyCredentials_ErrorNotificationAppeared","Login with empty credentials."
"failed","Thu Nov 07 14:08:03 GMT 2024","Thu Nov 07 14:08:04 GMT 2024","595","Login","Login","API","ApiLoginTests","LoginApi_AuthenticateUserWithInvalidCredentials_UnauthorizedStatusCodeReturns","LoginApi_AuthenticateUserWithInvalidCredentials_UnauthorizedStatusCodeReturns","Authenticate user with invalid credentials though API"
"broken","Thu Nov 07 14:08:31 GMT 2024","Thu Nov 07 14:09:17 GMT 2024","46026","Login","Login","UI","LoginTests","Login_ValidCredentials_LaunchesPageOpened","Login_ValidCredentials_LaunchesPageOpened","Login with valid credentials"
"passed","Thu Nov 07 14:08:04 GMT 2024","Thu Nov 07 14:08:21 GMT 2024","17594","Login","Login","UI","LoginTests","Login_EmptyPassword_ErrorNotificationAppeared","Login_EmptyPassword_ErrorNotificationAppeared","Login with empty password."
"failed","Thu Nov 07 14:09:01 GMT 2024","Thu Nov 07 14:09:02 GMT 2024","562","Login","Login","API","ApiLoginTests","LoginApi_AuthenticateUserWithoutPasswordTest_UnauthorizedStatusCodeReturns","LoginApi_AuthenticateUserWithoutPasswordTest_UnauthorizedStatusCodeReturns","Authenticate user without password though API"
"passed","Thu Nov 07 14:08:51 GMT 2024","Thu Nov 07 14:09:15 GMT 2024","24910","User","UserPopup","Open user popup","UserPopupTests","UserPopup_OpenPopup_PopupIsDisplayed","UserPopup_OpenPopup_PopupIsDisplayed","Open user popup"
"passed","Thu Nov 07 14:08:21 GMT 2024","Thu Nov 07 14:08:31 GMT 2024","10274","Login","Login","UI","LoginTests","Login_InvalidCredentials_ErrorNotificationAppeared","Login_InvalidCredentials_ErrorNotificationAppeared","Login with invalid credentials."
"passed","Thu Nov 07 14:08:02 GMT 2024","Thu Nov 07 14:08:22 GMT 2024","19906","Login","Login","UI","LoginTests","Login_EmptyEmail_ErrorNotificationAppeared","Login_EmptyEmail_ErrorNotificationAppeared","Login with empty email."
"passed","Thu Nov 07 14:08:22 GMT 2024","Thu Nov 07 14:08:51 GMT 2024","29073","Login","LogOut","UI","LoginTests","Login_LogoutFromUserPopup_LoginPageOpened","Login_LogoutFromUserPopup_LoginPageOpened","Log out from header popup. Expected OKTA page with URL: https://coxauto.okta.com opened."
