"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Oct 28 14:08:54 GMT 2024","Mon Oct 28 14:08:54 GMT 2024","947","Login","Login","API","ApiLoginTests","LoginAi_AuthenticateUserWithoutUsername_UnauthorizedStatusCodeReturns","LoginAi_AuthenticateUserWithoutUsername_UnauthorizedStatusCodeReturns","Authenticate user without email though API"
"broken","Mon Oct 28 14:08:55 GMT 2024","Mon Oct 28 14:09:19 GMT 2024","24929","User","UserPopup","Open user popup","UserPopupTests","UserPopup_OpenPopup_PopupIsDisplayed","UserPopup_OpenPopup_PopupIsDisplayed","Open user popup"
"passed","Mon Oct 28 14:09:19 GMT 2024","Mon Oct 28 14:09:29 GMT 2024","9974","Login","Login","UI","LoginTests","Login_EmptyEmail_ErrorNotificationAppeared","Login_EmptyEmail_ErrorNotificationAppeared","Login with empty email."
"failed","Mon Oct 28 14:09:20 GMT 2024","Mon Oct 28 14:09:21 GMT 2024","581","Login","Login","API","ApiLoginTests","LoginApi_AuthenticateUserWithInvalidCredentials_UnauthorizedStatusCodeReturns","LoginApi_AuthenticateUserWithInvalidCredentials_UnauthorizedStatusCodeReturns","Authenticate user with invalid credentials though API"
"broken","Mon Oct 28 14:09:29 GMT 2024","Mon Oct 28 14:09:40 GMT 2024","10812","Login","LogOut","UI","LoginTests","Login_LogoutFromUserPopup_LoginPageOpened","Login_LogoutFromUserPopup_LoginPageOpened","Log out from header popup. Expected OKTA page with URL: https://coxauto.okta.com opened."
"failed","Mon Oct 28 14:09:30 GMT 2024","Mon Oct 28 14:09:31 GMT 2024","609","Login","Login","API","ApiLoginTests","LoginApi_AuthenticateUserWithoutPasswordTest_UnauthorizedStatusCodeReturns","LoginApi_AuthenticateUserWithoutPasswordTest_UnauthorizedStatusCodeReturns","Authenticate user without password though API"
"passed","Mon Oct 28 14:09:21 GMT 2024","Mon Oct 28 14:09:33 GMT 2024","12204","Login","Login","UI","LoginTests","Login_InvalidCredentials_ErrorNotificationAppeared","Login_InvalidCredentials_ErrorNotificationAppeared","Login with invalid credentials."
"passed","Mon Oct 28 14:09:31 GMT 2024","Mon Oct 28 14:09:40 GMT 2024","9817","Login","Login","UI","LoginTests","Login_ValidCredentials_LaunchesPageOpened","Login_ValidCredentials_LaunchesPageOpened","Login with valid credentials"
"broken","Mon Oct 28 14:08:54 GMT 2024","Mon Oct 28 14:09:19 GMT 2024","25940","User","UserPopup","Popup buttons","UserPopupTests","UserPopup_CheckPopupButton_AllButtonsDisplayed","UserPopup_CheckPopupButton_AllButtonsDisplayed","Open user popup"
"passed","Mon Oct 28 14:09:21 GMT 2024","Mon Oct 28 14:09:30 GMT 2024","9236","Login","Login","UI","LoginTests","Login_EmptyPassword_ErrorNotificationAppeared","Login_EmptyPassword_ErrorNotificationAppeared","Login with empty password."
"broken","Mon Oct 28 14:09:19 GMT 2024","Mon Oct 28 14:09:20 GMT 2024","611","Login","Login","API","ApiLoginTests","LoginApi_AuthenticateUser_UnauthorizedStatusCodeReturns","LoginApi_AuthenticateUser_UnauthorizedStatusCodeReturns","Authenticate user though API"
"broken","Mon Oct 28 14:08:54 GMT 2024","Mon Oct 28 14:09:36 GMT 2024","42835","Login","Login","UI","LoginTests","Login_EmptyCredentials_ErrorNotificationAppeared","Login_EmptyCredentials_ErrorNotificationAppeared","Login with empty credentials."
"broken","Mon Oct 28 14:08:54 GMT 2024","Mon Oct 28 14:09:21 GMT 2024","27308","User","UserPopup","Open user profile","UserPopupTests","UserPopup_CheckProfileButton_ProfilePageOpened","UserPopup_CheckProfileButton_ProfilePageOpened","Open user profile from user popup"
