"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 14 14:08:29 GMT 2024","Thu Nov 14 14:08:46 GMT 2024","17501","Login","Login","UI","LoginTests","Login_EmptyEmail_ErrorNotificationAppeared","Login_EmptyEmail_ErrorNotificationAppeared","Login with empty email."
"broken","Thu Nov 14 14:08:28 GMT 2024","Thu Nov 14 14:08:29 GMT 2024","481","Login","Login","API","ApiLoginTests","LoginApi_AuthenticateUser_UnauthorizedStatusCodeReturns","LoginApi_AuthenticateUser_UnauthorizedStatusCodeReturns","Authenticate user though API"
"broken","Thu Nov 14 14:08:27 GMT 2024","Thu Nov 14 14:09:06 GMT 2024","38921","Login","Login","UI","LoginTests","Login_EmptyCredentials_ErrorNotificationAppeared","Login_EmptyCredentials_ErrorNotificationAppeared","Login with empty credentials."
"broken","Thu Nov 14 14:08:54 GMT 2024","Thu Nov 14 14:09:04 GMT 2024","9900","Login","LogOut","UI","LoginTests","Login_LogoutFromUserPopup_LoginPageOpened","Login_LogoutFromUserPopup_LoginPageOpened","Log out from header popup. Expected OKTA page with URL: https://coxauto.okta.com opened."
"broken","Thu Nov 14 14:08:27 GMT 2024","Thu Nov 14 14:08:50 GMT 2024","22574","User","UserPopup","Popup buttons","UserPopupTests","UserPopup_CheckPopupButton_AllButtonsDisplayed","UserPopup_CheckPopupButton_AllButtonsDisplayed","Open user popup"
"broken","Thu Nov 14 14:08:27 GMT 2024","Thu Nov 14 14:08:49 GMT 2024","21801","User","UserPopup","Open user profile","UserPopupTests","UserPopup_CheckProfileButton_ProfilePageOpened","UserPopup_CheckProfileButton_ProfilePageOpened","Open user profile from user popup"
"passed","Thu Nov 14 14:09:00 GMT 2024","Thu Nov 14 14:09:07 GMT 2024","7621","Login","Login","UI","LoginTests","Login_ValidCredentials_LaunchesPageOpened","Login_ValidCredentials_LaunchesPageOpened","Login with valid credentials"
"failed","Thu Nov 14 14:08:27 GMT 2024","Thu Nov 14 14:08:28 GMT 2024","710","Login","Login","API","ApiLoginTests","LoginAi_AuthenticateUserWithoutUsername_UnauthorizedStatusCodeReturns","LoginAi_AuthenticateUserWithoutUsername_UnauthorizedStatusCodeReturns","Authenticate user without email though API"
"passed","Thu Nov 14 14:08:50 GMT 2024","Thu Nov 14 14:09:00 GMT 2024","9685","Login","Login","UI","LoginTests","Login_EmptyPassword_ErrorNotificationAppeared","Login_EmptyPassword_ErrorNotificationAppeared","Login with empty password."
"failed","Thu Nov 14 14:08:49 GMT 2024","Thu Nov 14 14:08:50 GMT 2024","384","Login","Login","API","ApiLoginTests","LoginApi_AuthenticateUserWithInvalidCredentials_UnauthorizedStatusCodeReturns","LoginApi_AuthenticateUserWithInvalidCredentials_UnauthorizedStatusCodeReturns","Authenticate user with invalid credentials though API"
"failed","Thu Nov 14 14:08:50 GMT 2024","Thu Nov 14 14:08:50 GMT 2024","530","Login","Login","API","ApiLoginTests","LoginApi_AuthenticateUserWithoutPasswordTest_UnauthorizedStatusCodeReturns","LoginApi_AuthenticateUserWithoutPasswordTest_UnauthorizedStatusCodeReturns","Authenticate user without password though API"
"broken","Thu Nov 14 14:08:46 GMT 2024","Thu Nov 14 14:08:54 GMT 2024","7521","User","UserPopup","Open user popup","UserPopupTests","UserPopup_OpenPopup_PopupIsDisplayed","UserPopup_OpenPopup_PopupIsDisplayed","Open user popup"
"passed","Thu Nov 14 14:08:50 GMT 2024","Thu Nov 14 14:09:01 GMT 2024","10796","Login","Login","UI","LoginTests","Login_InvalidCredentials_ErrorNotificationAppeared","Login_InvalidCredentials_ErrorNotificationAppeared","Login with invalid credentials."
