"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Nov 01 14:08:03 GMT 2024","Fri Nov 01 14:08:04 GMT 2024","748","Login","Login","API","ApiLoginTests","LoginAi_AuthenticateUserWithoutUsername_UnauthorizedStatusCodeReturns","LoginAi_AuthenticateUserWithoutUsername_UnauthorizedStatusCodeReturns","Authenticate user without email though API"
"broken","Fri Nov 01 14:08:03 GMT 2024","Fri Nov 01 14:08:23 GMT 2024","19939","User","UserPopup","Popup buttons","UserPopupTests","UserPopup_CheckPopupButton_AllButtonsDisplayed","UserPopup_CheckPopupButton_AllButtonsDisplayed","Open user popup"
"passed","Fri Nov 01 14:08:22 GMT 2024","Fri Nov 01 14:08:32 GMT 2024","9360","Login","Login","UI","LoginTests","Login_EmptyPassword_ErrorNotificationAppeared","Login_EmptyPassword_ErrorNotificationAppeared","Login with empty password."
"failed","Fri Nov 01 14:08:22 GMT 2024","Fri Nov 01 14:08:33 GMT 2024","10809","Login","Login","UI","LoginTests","Login_InvalidCredentials_ErrorNotificationAppeared","Login_InvalidCredentials_ErrorNotificationAppeared","Login with invalid credentials."
"broken","Fri Nov 01 14:08:03 GMT 2024","Fri Nov 01 14:08:41 GMT 2024","38048","Login","Login","UI","LoginTests","Login_EmptyCredentials_ErrorNotificationAppeared","Login_EmptyCredentials_ErrorNotificationAppeared","Login with empty credentials."
"broken","Fri Nov 01 14:08:23 GMT 2024","Fri Nov 01 14:08:35 GMT 2024","12534","Login","LogOut","UI","LoginTests","Login_LogoutFromUserPopup_LoginPageOpened","Login_LogoutFromUserPopup_LoginPageOpened","Log out from header popup. Expected OKTA page with URL: https://coxauto.okta.com opened."
"broken","Fri Nov 01 14:08:04 GMT 2024","Fri Nov 01 14:08:22 GMT 2024","18570","User","UserPopup","Open user profile","UserPopupTests","UserPopup_CheckProfileButton_ProfilePageOpened","UserPopup_CheckProfileButton_ProfilePageOpened","Open user profile from user popup"
"passed","Fri Nov 01 14:08:32 GMT 2024","Fri Nov 01 14:08:42 GMT 2024","9936","Login","Login","UI","LoginTests","Login_ValidCredentials_LaunchesPageOpened","Login_ValidCredentials_LaunchesPageOpened","Login with valid credentials"
"broken","Fri Nov 01 14:08:21 GMT 2024","Fri Nov 01 14:08:21 GMT 2024","487","Login","Login","API","ApiLoginTests","LoginApi_AuthenticateUser_UnauthorizedStatusCodeReturns","LoginApi_AuthenticateUser_UnauthorizedStatusCodeReturns","Authenticate user though API"
"failed","Fri Nov 01 14:08:22 GMT 2024","Fri Nov 01 14:08:22 GMT 2024","521","Login","Login","API","ApiLoginTests","LoginApi_AuthenticateUserWithoutPasswordTest_UnauthorizedStatusCodeReturns","LoginApi_AuthenticateUserWithoutPasswordTest_UnauthorizedStatusCodeReturns","Authenticate user without password though API"
"broken","Fri Nov 01 14:08:33 GMT 2024","Fri Nov 01 14:08:43 GMT 2024","9551","User","UserPopup","Open user popup","UserPopupTests","UserPopup_OpenPopup_PopupIsDisplayed","UserPopup_OpenPopup_PopupIsDisplayed","Open user popup"
"failed","Fri Nov 01 14:08:21 GMT 2024","Fri Nov 01 14:08:22 GMT 2024","571","Login","Login","API","ApiLoginTests","LoginApi_AuthenticateUserWithInvalidCredentials_UnauthorizedStatusCodeReturns","LoginApi_AuthenticateUserWithInvalidCredentials_UnauthorizedStatusCodeReturns","Authenticate user with invalid credentials though API"
"passed","Fri Nov 01 14:08:03 GMT 2024","Fri Nov 01 14:08:21 GMT 2024","17782","Login","Login","UI","LoginTests","Login_EmptyEmail_ErrorNotificationAppeared","Login_EmptyEmail_ErrorNotificationAppeared","Login with empty email."
