"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Oct 21 14:08:23 GMT 2024","Mon Oct 21 14:09:03 GMT 2024","39947","Login","Login","UI","LoginTests","Login_EmptyCredentials_ErrorNotificationAppeared","Login_EmptyCredentials_ErrorNotificationAppeared","Login with empty credentials."
"failed","Mon Oct 21 14:08:23 GMT 2024","Mon Oct 21 14:08:23 GMT 2024","805","Login","Login","API","ApiLoginTests","LoginAi_AuthenticateUserWithoutUsername_UnauthorizedStatusCodeReturns","LoginAi_AuthenticateUserWithoutUsername_UnauthorizedStatusCodeReturns","Authenticate user without email though API"
"broken","Mon Oct 21 14:08:24 GMT 2024","Mon Oct 21 14:08:43 GMT 2024","18959","User","UserPopup","Open user profile","UserPopupTests","UserPopup_CheckProfileButton_ProfilePageOpened","UserPopup_CheckProfileButton_ProfilePageOpened","Open user profile from user popup"
"broken","Mon Oct 21 14:08:23 GMT 2024","Mon Oct 21 14:08:24 GMT 2024","340","Login","Login","API","ApiLoginTests","LoginApi_AuthenticateUser_UnauthorizedStatusCodeReturns","LoginApi_AuthenticateUser_UnauthorizedStatusCodeReturns","Authenticate user though API"
"passed","Mon Oct 21 14:08:43 GMT 2024","Mon Oct 21 14:08:53 GMT 2024","9229","Login","Login","UI","LoginTests","Login_EmptyPassword_ErrorNotificationAppeared","Login_EmptyPassword_ErrorNotificationAppeared","Login with empty password."
"failed","Mon Oct 21 14:08:43 GMT 2024","Mon Oct 21 14:08:46 GMT 2024","2490","Login","Login","API","ApiLoginTests","LoginApi_AuthenticateUserWithoutPasswordTest_UnauthorizedStatusCodeReturns","LoginApi_AuthenticateUserWithoutPasswordTest_UnauthorizedStatusCodeReturns","Authenticate user without password though API"
"passed","Mon Oct 21 14:08:23 GMT 2024","Mon Oct 21 14:08:43 GMT 2024","19959","Login","Login","UI","LoginTests","Login_EmptyEmail_ErrorNotificationAppeared","Login_EmptyEmail_ErrorNotificationAppeared","Login with empty email."
"broken","Mon Oct 21 14:08:43 GMT 2024","Mon Oct 21 14:08:51 GMT 2024","8853","User","UserPopup","Open user popup","UserPopupTests","UserPopup_OpenPopup_PopupIsDisplayed","UserPopup_OpenPopup_PopupIsDisplayed","Open user popup"
"broken","Mon Oct 21 14:08:23 GMT 2024","Mon Oct 21 14:08:43 GMT 2024","20894","User","UserPopup","Popup buttons","UserPopupTests","UserPopup_CheckPopupButton_AllButtonsDisplayed","UserPopup_CheckPopupButton_AllButtonsDisplayed","Open user popup"
"passed","Mon Oct 21 14:08:46 GMT 2024","Mon Oct 21 14:08:55 GMT 2024","9051","Login","Login","UI","LoginTests","Login_InvalidCredentials_ErrorNotificationAppeared","Login_InvalidCredentials_ErrorNotificationAppeared","Login with invalid credentials."
"passed","Mon Oct 21 14:08:53 GMT 2024","Mon Oct 21 14:09:01 GMT 2024","8373","Login","Login","UI","LoginTests","Login_ValidCredentials_LaunchesPageOpened","Login_ValidCredentials_LaunchesPageOpened","Login with valid credentials"
"failed","Mon Oct 21 14:08:43 GMT 2024","Mon Oct 21 14:08:43 GMT 2024","420","Login","Login","API","ApiLoginTests","LoginApi_AuthenticateUserWithInvalidCredentials_UnauthorizedStatusCodeReturns","LoginApi_AuthenticateUserWithInvalidCredentials_UnauthorizedStatusCodeReturns","Authenticate user with invalid credentials though API"
"broken","Mon Oct 21 14:08:51 GMT 2024","Mon Oct 21 14:09:01 GMT 2024","9976","Login","LogOut","UI","LoginTests","Login_LogoutFromUserPopup_LoginPageOpened","Login_LogoutFromUserPopup_LoginPageOpened","Log out from header popup. Expected OKTA page with URL: https://coxauto.okta.com opened."
