"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Oct 26 14:07:21 GMT 2024","Sat Oct 26 14:07:22 GMT 2024","598","Login","Login","API","ApiLoginTests","LoginApi_AuthenticateUserWithInvalidCredentials_UnauthorizedStatusCodeReturns","LoginApi_AuthenticateUserWithInvalidCredentials_UnauthorizedStatusCodeReturns","Authenticate user with invalid credentials though API"
"passed","Sat Oct 26 14:07:23 GMT 2024","Sat Oct 26 14:07:33 GMT 2024","10019","Login","Login","UI","LoginTests","Login_InvalidCredentials_ErrorNotificationAppeared","Login_InvalidCredentials_ErrorNotificationAppeared","Login with invalid credentials."
"broken","Sat Oct 26 14:07:02 GMT 2024","Sat Oct 26 14:07:23 GMT 2024","21307","User","UserPopup","Open user profile","UserPopupTests","UserPopup_CheckProfileButton_ProfilePageOpened","UserPopup_CheckProfileButton_ProfilePageOpened","Open user profile from user popup"
"passed","Sat Oct 26 14:07:23 GMT 2024","Sat Oct 26 14:07:33 GMT 2024","10058","Login","Login","UI","LoginTests","Login_EmptyPassword_ErrorNotificationAppeared","Login_EmptyPassword_ErrorNotificationAppeared","Login with empty password."
"broken","Sat Oct 26 14:07:21 GMT 2024","Sat Oct 26 14:07:21 GMT 2024","388","Login","Login","API","ApiLoginTests","LoginApi_AuthenticateUser_UnauthorizedStatusCodeReturns","LoginApi_AuthenticateUser_UnauthorizedStatusCodeReturns","Authenticate user though API"
"passed","Sat Oct 26 14:07:02 GMT 2024","Sat Oct 26 14:07:21 GMT 2024","18108","Login","Login","UI","LoginTests","Login_EmptyEmail_ErrorNotificationAppeared","Login_EmptyEmail_ErrorNotificationAppeared","Login with empty email."
"broken","Sat Oct 26 14:07:22 GMT 2024","Sat Oct 26 14:07:33 GMT 2024","10890","User","UserPopup","Open user popup","UserPopupTests","UserPopup_OpenPopup_PopupIsDisplayed","UserPopup_OpenPopup_PopupIsDisplayed","Open user popup"
"broken","Sat Oct 26 14:07:02 GMT 2024","Sat Oct 26 14:07:23 GMT 2024","21337","User","UserPopup","Popup buttons","UserPopupTests","UserPopup_CheckPopupButton_AllButtonsDisplayed","UserPopup_CheckPopupButton_AllButtonsDisplayed","Open user popup"
"broken","Sat Oct 26 14:07:02 GMT 2024","Sat Oct 26 14:07:42 GMT 2024","40289","Login","Login","UI","LoginTests","Login_EmptyCredentials_ErrorNotificationAppeared","Login_EmptyCredentials_ErrorNotificationAppeared","Login with empty credentials."
"broken","Sat Oct 26 14:07:33 GMT 2024","Sat Oct 26 14:07:43 GMT 2024","10118","Login","LogOut","UI","LoginTests","Login_LogoutFromUserPopup_LoginPageOpened","Login_LogoutFromUserPopup_LoginPageOpened","Log out from header popup. Expected OKTA page with URL: https://coxauto.okta.com opened."
"failed","Sat Oct 26 14:07:22 GMT 2024","Sat Oct 26 14:07:22 GMT 2024","466","Login","Login","API","ApiLoginTests","LoginApi_AuthenticateUserWithoutPasswordTest_UnauthorizedStatusCodeReturns","LoginApi_AuthenticateUserWithoutPasswordTest_UnauthorizedStatusCodeReturns","Authenticate user without password though API"
"failed","Sat Oct 26 14:07:02 GMT 2024","Sat Oct 26 14:07:02 GMT 2024","871","Login","Login","API","ApiLoginTests","LoginAi_AuthenticateUserWithoutUsername_UnauthorizedStatusCodeReturns","LoginAi_AuthenticateUserWithoutUsername_UnauthorizedStatusCodeReturns","Authenticate user without email though API"
"passed","Sat Oct 26 14:07:33 GMT 2024","Sat Oct 26 14:07:43 GMT 2024","9753","Login","Login","UI","LoginTests","Login_ValidCredentials_LaunchesPageOpened","Login_ValidCredentials_LaunchesPageOpened","Login with valid credentials"
