"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Nov 15 14:08:42 GMT 2024","Fri Nov 15 14:08:43 GMT 2024","728","Login","Login","API","ApiLoginTests","LoginAi_AuthenticateUserWithoutUsername_UnauthorizedStatusCodeReturns","LoginAi_AuthenticateUserWithoutUsername_UnauthorizedStatusCodeReturns","Authenticate user without email though API"
"passed","Fri Nov 15 14:08:56 GMT 2024","Fri Nov 15 14:09:03 GMT 2024","6311","Login","Login","UI","LoginTests","Login_EmptyEmail_ErrorNotificationAppeared","Login_EmptyEmail_ErrorNotificationAppeared","Login with empty email."
"broken","Fri Nov 15 14:08:44 GMT 2024","Fri Nov 15 14:09:16 GMT 2024","32452","Login","Login","UI","LoginTests","Login_EmptyCredentials_ErrorNotificationAppeared","Login_EmptyCredentials_ErrorNotificationAppeared","Login with empty credentials."
"passed","Fri Nov 15 14:09:00 GMT 2024","Fri Nov 15 14:09:10 GMT 2024","9790","Login","Login","UI","LoginTests","Login_EmptyPassword_ErrorNotificationAppeared","Login_EmptyPassword_ErrorNotificationAppeared","Login with empty password."
"passed","Fri Nov 15 14:09:00 GMT 2024","Fri Nov 15 14:09:11 GMT 2024","10694","Login","Login","UI","LoginTests","Login_InvalidCredentials_ErrorNotificationAppeared","Login_InvalidCredentials_ErrorNotificationAppeared","Login with invalid credentials."
"broken","Fri Nov 15 14:08:42 GMT 2024","Fri Nov 15 14:08:43 GMT 2024","734","Login","Login","API","ApiLoginTests","LoginApi_AuthenticateUser_UnauthorizedStatusCodeReturns","LoginApi_AuthenticateUser_UnauthorizedStatusCodeReturns","Authenticate user though API"
"failed","Fri Nov 15 14:08:43 GMT 2024","Fri Nov 15 14:08:44 GMT 2024","591","Login","Login","API","ApiLoginTests","LoginApi_AuthenticateUserWithInvalidCredentials_UnauthorizedStatusCodeReturns","LoginApi_AuthenticateUserWithInvalidCredentials_UnauthorizedStatusCodeReturns","Authenticate user with invalid credentials though API"
"passed","Fri Nov 15 14:09:10 GMT 2024","Fri Nov 15 14:09:17 GMT 2024","7562","Login","Login","UI","LoginTests","Login_ValidCredentials_LaunchesPageOpened","Login_ValidCredentials_LaunchesPageOpened","Login with valid credentials"
"broken","Fri Nov 15 14:08:42 GMT 2024","Fri Nov 15 14:09:00 GMT 2024","17627","User","UserPopup","Open user profile","UserPopupTests","UserPopup_CheckProfileButton_ProfilePageOpened","UserPopup_CheckProfileButton_ProfilePageOpened","Open user profile from user popup"
"failed","Fri Nov 15 14:09:00 GMT 2024","Fri Nov 15 14:09:00 GMT 2024","417","Login","Login","API","ApiLoginTests","LoginApi_AuthenticateUserWithoutPasswordTest_UnauthorizedStatusCodeReturns","LoginApi_AuthenticateUserWithoutPasswordTest_UnauthorizedStatusCodeReturns","Authenticate user without password though API"
"broken","Fri Nov 15 14:08:43 GMT 2024","Fri Nov 15 14:08:56 GMT 2024","13144","User","UserPopup","Open user popup","UserPopupTests","UserPopup_OpenPopup_PopupIsDisplayed","UserPopup_OpenPopup_PopupIsDisplayed","Open user popup"
"broken","Fri Nov 15 14:08:42 GMT 2024","Fri Nov 15 14:09:00 GMT 2024","17355","User","UserPopup","Popup buttons","UserPopupTests","UserPopup_CheckPopupButton_AllButtonsDisplayed","UserPopup_CheckPopupButton_AllButtonsDisplayed","Open user popup"
"broken","Fri Nov 15 14:09:03 GMT 2024","Fri Nov 15 14:09:13 GMT 2024","10655","Login","LogOut","UI","LoginTests","Login_LogoutFromUserPopup_LoginPageOpened","Login_LogoutFromUserPopup_LoginPageOpened","Log out from header popup. Expected OKTA page with URL: https://coxauto.okta.com opened."
