"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Nov 04 14:08:36 GMT 2024","Mon Nov 04 14:08:37 GMT 2024","678","Login","Login","API","ApiLoginTests","LoginAi_AuthenticateUserWithoutUsername_UnauthorizedStatusCodeReturns","LoginAi_AuthenticateUserWithoutUsername_UnauthorizedStatusCodeReturns","Authenticate user without email though API"
"broken","Mon Nov 04 14:08:36 GMT 2024","Mon Nov 04 14:08:52 GMT 2024","15501","User","UserPopup","Popup buttons","UserPopupTests","UserPopup_CheckPopupButton_AllButtonsDisplayed","UserPopup_CheckPopupButton_AllButtonsDisplayed","Open user popup"
"passed","Mon Nov 04 14:08:50 GMT 2024","Mon Nov 04 14:09:00 GMT 2024","10055","Login","Login","UI","LoginTests","Login_EmptyPassword_ErrorNotificationAppeared","Login_EmptyPassword_ErrorNotificationAppeared","Login with empty password."
"broken","Mon Nov 04 14:08:37 GMT 2024","Mon Nov 04 14:08:51 GMT 2024","13897","User","UserPopup","Open user profile","UserPopupTests","UserPopup_CheckProfileButton_ProfilePageOpened","UserPopup_CheckProfileButton_ProfilePageOpened","Open user profile from user popup"
"broken","Mon Nov 04 14:09:01 GMT 2024","Mon Nov 04 14:09:11 GMT 2024","9964","User","UserPopup","Open user popup","UserPopupTests","UserPopup_OpenPopup_PopupIsDisplayed","UserPopup_OpenPopup_PopupIsDisplayed","Open user popup"
"broken","Mon Nov 04 14:08:52 GMT 2024","Mon Nov 04 14:09:04 GMT 2024","11934","Login","LogOut","UI","LoginTests","Login_LogoutFromUserPopup_LoginPageOpened","Login_LogoutFromUserPopup_LoginPageOpened","Log out from header popup. Expected OKTA page with URL: https://coxauto.okta.com opened."
"failed","Mon Nov 04 14:09:04 GMT 2024","Mon Nov 04 14:09:06 GMT 2024","1829","Login","Login","API","ApiLoginTests","LoginApi_AuthenticateUserWithoutPasswordTest_UnauthorizedStatusCodeReturns","LoginApi_AuthenticateUserWithoutPasswordTest_UnauthorizedStatusCodeReturns","Authenticate user without password though API"
"passed","Mon Nov 04 14:08:51 GMT 2024","Mon Nov 04 14:09:01 GMT 2024","10294","Login","Login","UI","LoginTests","Login_InvalidCredentials_ErrorNotificationAppeared","Login_InvalidCredentials_ErrorNotificationAppeared","Login with invalid credentials."
"passed","Mon Nov 04 14:08:37 GMT 2024","Mon Nov 04 14:08:50 GMT 2024","12811","Login","Login","UI","LoginTests","Login_EmptyEmail_ErrorNotificationAppeared","Login_EmptyEmail_ErrorNotificationAppeared","Login with empty email."
"failed","Mon Nov 04 14:08:50 GMT 2024","Mon Nov 04 14:08:50 GMT 2024","430","Login","Login","API","ApiLoginTests","LoginApi_AuthenticateUserWithInvalidCredentials_UnauthorizedStatusCodeReturns","LoginApi_AuthenticateUserWithInvalidCredentials_UnauthorizedStatusCodeReturns","Authenticate user with invalid credentials though API"
"passed","Mon Nov 04 14:09:00 GMT 2024","Mon Nov 04 14:09:10 GMT 2024","9710","Login","Login","UI","LoginTests","Login_ValidCredentials_LaunchesPageOpened","Login_ValidCredentials_LaunchesPageOpened","Login with valid credentials"
"broken","Mon Nov 04 14:08:36 GMT 2024","Mon Nov 04 14:09:32 GMT 2024","55285","Login","Login","UI","LoginTests","Login_EmptyCredentials_ErrorNotificationAppeared","Login_EmptyCredentials_ErrorNotificationAppeared","Login with empty credentials."
"broken","Mon Nov 04 14:08:36 GMT 2024","Mon Nov 04 14:08:37 GMT 2024","674","Login","Login","API","ApiLoginTests","LoginApi_AuthenticateUser_UnauthorizedStatusCodeReturns","LoginApi_AuthenticateUser_UnauthorizedStatusCodeReturns","Authenticate user though API"
